track_index,20cluster_memval
11,3:0.0888802707195282 10:0.08888024836778641 11:0.08887849003076553 8:0.08887762576341629 0:0.08836964517831802 4:0.08753671497106552 5:0.0861387699842453 7:0.0859169214963913 1:0.079238660633564 9:0.0784931406378746 2:0.07491079717874527 6:0.06387872248888016 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.0855044573545456 3:0.08550353348255157 10:0.08550336956977844 11:0.08550133556127548 0:0.08530094474554062 4:0.08500722795724869 5:0.0845242589712143 7:0.0844472274184227 1:0.08201032876968384 9:0.08170676231384277 2:0.08018645644187927 6:0.07480409741401672 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08677957206964493 3:0.08675751090049744 10:0.08675556629896164 11:0.086737260222435 0:0.08616292476654053 4:0.0855708196759224 5:0.08472269028425217 7:0.08459494262933731 1:0.08104421943426132 9:0.08065471798181534 2:0.0785178616642952 6:0.07170192152261734 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.088441401720047 3:0.08842407912015915 10:0.08842244744300842 11:0.08840630948543549 0:0.08770086616277695 4:0.0868494063615799 5:0.08555452525615692 7:0.08535543829202652 1:0.0796695426106453 9:0.07904159277677536 2:0.0758545845746994 6:0.0662798136472702 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,11:0.08643640577793121 10:0.086433045566082 3:0.08643253892660141 8:0.08642403036355972 0:0.08618640154600143 4:0.08573005348443985 5:0.08495976030826569 7:0.08483672887086868 1:0.0810634046792984 9:0.08062268048524857 2:0.07856933027505875 6:0.07230562716722488 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08660661429166794 3:0.08660160005092621 10:0.08660092949867249 11:0.08659333735704422 0:0.08610916882753372 4:0.08551466464996338 5:0.08464211970567703 7:0.0845106840133667 1:0.08090854436159134 9:0.08051970601081848 2:0.07865562289953232 6:0.07273700088262558 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08782315254211426 3:0.08778997510671616 10:0.08778692781925201 11:0.08775771409273148 0:0.08684990555047989 4:0.08598408848047256 5:0.08483786135911942 7:0.08467289805412292 1:0.08046849817037582 9:0.08002707362174988 2:0.07762843370437622 6:0.06837347149848938 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,0:0.08761512488126755 11:0.08758819848299026 10:0.08756451308727264 3:0.0875617265701294 8:0.08752522617578506 4:0.0871773287653923 5:0.08622048050165176 7:0.08605489879846573 1:0.08033697307109833 9:0.07963664829730988 2:0.07640882581472397 6:0.06631004810333252 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.0921051874756813 3:0.09205004572868347 10:0.09204496443271637 11:0.09199612587690353 0:0.09037701040506363 4:0.08870813250541687 5:0.08637531101703644 7:0.08603142946958542 1:0.07706093788146973 9:0.07616110146045685 2:0.07132688164710999 6:0.055762872099876404 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08582767844200134 3:0.08582407236099243 10:0.08582372963428497 11:0.0858202651143074 0:0.08561114221811295 4:0.0852944403886795 5:0.08474798500537872 7:0.08465953916311264 1:0.08181236684322357 9:0.08148021250963211 2:0.07970467209815979 6:0.07339389622211456 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08688437193632126 3:0.08686962723731995 10:0.08686823397874832 11:0.08685456216335297 0:0.08630500733852386 4:0.08567962050437927 5:0.08476048707962036 7:0.08462139219045639 1:0.08076798170804977 9:0.08035764843225479 2:0.07823896408081055 6:0.0717921033501625 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,11:0.08757127821445465 10:0.08757038414478302 3:0.08757016062736511 8:0.08756544440984726 0:0.08724508434534073 4:0.08665751665830612 5:0.085634745657444 7:0.0854698196053505 1:0.08033344149589539 9:0.07975206524133682 2:0.07688233256340027 6:0.06774772703647614 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,11:0.08625449985265732 10:0.0862504094839096 3:0.0862499326467514 8:0.08624404668807983 0:0.08619212359189987 4:0.08593972772359848 5:0.0853886753320694 7:0.08529113233089447 1:0.08171991258859634 9:0.081268809735775 2:0.07877086102962494 6:0.07042986154556274 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,4:0.08722148090600967 5:0.0870918482542038 7:0.08702907711267471 0:0.08690766245126724 11:0.0859995186328888 10:0.0859474241733551 3:0.08594168722629547 8:0.08587334305047989 1:0.08257322758436203 9:0.08185799419879913 2:0.07835117727518082 6:0.06520556658506393 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08578089624643326 3:0.08576854318380356 10:0.085767462849617 11:0.08575735986232758 0:0.08542882651090622 4:0.08506741374731064 5:0.08451749384403229 7:0.0844317078590393 1:0.08185573667287827 9:0.08155478537082672 2:0.07984564453363419 6:0.07422413676977158 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08758147805929184 3:0.0875159278512001 10:0.08751025050878525 11:0.08745775371789932 0:0.0861993208527565 4:0.08522231876850128 5:0.08408494293689728 7:0.08393128216266632 1:0.08063359558582306 9:0.0803363025188446 2:0.0783509686589241 6:0.07117585837841034 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.08600559085607529 3:0.08598879724740982 10:0.08598730713129044 11:0.08597321063280106 0:0.08552633225917816 4:0.08506161719560623 5:0.0843966156244278 7:0.08429703861474991 1:0.08155481517314911 9:0.08126385509967804 2:0.07967288047075272 6:0.07427195459604263 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,11:0.09076958149671555 10:0.09076572954654694 3:0.09076498448848724 8:0.09075018018484116 0:0.090080626308918 4:0.08890217542648315 5:0.08694649487733841 7:0.08663766831159592 1:0.07758993655443192 9:0.07659108936786652 2:0.07192050665616989 6:0.058281030505895615 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.11247899383306503 3:0.11231029033660889 10:0.1122937723994255 11:0.11212994903326035 0:0.10540024936199188 4:0.09798762947320938 5:0.0879238024353981 7:0.08649417012929916 1:0.0558495931327343 9:0.05338520556688309 2:0.04238525405526161 6:0.021361084654927254 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
11,8:0.09231496602296829 3:0.0922405794262886 10:0.0922340378165245 11:0.0921727791428566 0:0.09039357304573059 4:0.08867984265089035 5:0.08633948862552643 7:0.08599602431058884 1:0.07703061401844025 9:0.0760825052857399 2:0.0710073858499527 6:0.05550820007920265 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
