cluster_index,100track
0,874:0.5972243547439575 1359:0.5390995740890503 1564:0.5383211374282837 1245:0.5269039273262024 4238:0.5249823331832886 4108:0.5237734913825989 3953:0.5231183171272278 922:0.5149725675582886 3959:0.5096121430397034 4660:0.5092487335205078 968:0.5007005929946899 1498:0.49497026205062866 4465:0.4939230978488922 957:0.49344635009765625 4301:0.49323830008506775 3955:0.49281013011932373 839:0.4906754493713379 4038:0.48890501260757446 4519:0.4853561222553253 1369:0.48532775044441223 1428:0.48364120721817017 1050:0.48334458470344543 4298:0.4832019507884979 4352:0.4796576499938965 3941:0.47414469718933105 4075:0.46913594007492065 4484:0.46841737627983093 4351:0.4608948826789856 991:0.45802274346351624 4317:0.45703139901161194 4329:0.4555398225784302 872:0.455135315656662 3914:0.4534051716327667 4485:0.45129385590553284 4781:0.45047613978385925 563:0.4498288333415985 4097:0.44925662875175476 4135:0.44823792576789856 4041:0.44776031374931335 4149:0.44769224524497986 4305:0.4471140503883362 4115:0.4444120526313782 932:0.44379785656929016 4159:0.4406268000602722 1019:0.44025418162345886 1365:0.4388069212436676 4171:0.43785443902015686 4212:0.43693214654922485 955:0.4369248151779175 4065:0.4363892376422882 1320:0.4348134994506836 4195:0.4343750476837158 4832:0.4338359534740448 4926:0.4331510066986084 4160:0.43254736065864563 3942:0.4310518205165863 1375:0.43004080653190613 4265:0.4289175570011139 4855:0.4277503788471222 5073:0.42757558822631836 1380:0.4274909794330597 4011:0.4266437292098999 4013:0.4261229634284973 1349:0.42593538761138916 1330:0.425141304731369 1326:0.4249226450920105 1399:0.4238003194332123 1489:0.42378947138786316 4456:0.4224339425563812 4252:0.4220159947872162 4124:0.4207857549190521 4293:0.42047935724258423 1148:0.41971537470817566 4306:0.41947147250175476 4851:0.41938316822052 1392:0.41872745752334595 1413:0.41861218214035034 4040:0.4178306460380554 4266:0.4163248836994171 1324:0.4161224961280823 3976:0.4156157076358795 4249:0.41541019082069397 4078:0.41483765840530396 4328:0.41468915343284607 264:0.4144315719604492 4825:0.4143754839897156 1570:0.4143737852573395 4066:0.4142005741596222 4323:0.4140346050262451 4824:0.4127016067504883 1360:0.4124293625354767 4161:0.41225138306617737 4250:0.41225093603134155 1308:0.4122260510921478 4155:0.4120517373085022 4061:0.4118589758872986 1203:0.4115257263183594 4247:0.41131791472435 4054:0.4112898111343384 4309:0.41114166378974915
1,3834:0.20714585483074188 2744:0.2052193284034729 2888:0.20512425899505615 3293:0.20311851799488068 3485:0.20080354809761047 3737:0.2006676197052002 3618:0.20002911984920502 3486:0.1991022527217865 3616:0.1990702897310257 3902:0.19902034103870392 2767:0.19808219373226166 3664:0.19769291579723358 3903:0.19767531752586365 3722:0.1974712312221527 4650:0.19653068482875824 2926:0.19650274515151978 3531:0.19551503658294678 2766:0.1953122764825821 3572:0.1948101818561554 2899:0.194211944937706 3294:0.19417163729667664 2745:0.1938634216785431 3617:0.1937720775604248 2841:0.19374458491802216 3721:0.193506121635437 3283:0.19333332777023315 2805:0.1931021362543106 3306:0.1930665671825409 387:0.192744642496109 3168:0.19248078763484955 3291:0.19225944578647614 3532:0.1922428160905838 3662:0.19219021499156952 361:0.19203294813632965 282:0.19195853173732758 3124:0.19195005297660828 2890:0.19189336895942688 4581:0.191787987947464 3284:0.1911093294620514 2740:0.1905890852212906 2887:0.19010873138904572 3679:0.18973736464977264 3292:0.18953832983970642 3543:0.18945109844207764 3288:0.189147487282753 3620:0.1890038698911667 4703:0.1887056678533554 3122:0.18845407664775848 3542:0.18827739357948303 4778:0.18811120092868805 3281:0.18802617490291595 4538:0.1880158931016922 4821:0.18787482380867004 548:0.1878732442855835 3900:0.18781237304210663 3149:0.18772998452186584 4582:0.1877104640007019 2925:0.18764501810073853 3825:0.1874968409538269 2957:0.18746913969516754 3784:0.18746063113212585 3723:0.18733273446559906 3824:0.18731382489204407 671:0.18722942471504211 4779:0.18721909821033478 3072:0.187064990401268 2821:0.18687176704406738 3724:0.18674884736537933 3813:0.1866149753332138 4563:0.1865888386964798 3546:0.1865454912185669 4580:0.18639522790908813 3758:0.18637262284755707 2743:0.18616440892219543 3311:0.1860625445842743 4649:0.18583327531814575 3312:0.18559877574443817 3290:0.1854380965232849 2881:0.18536396324634552 2919:0.18527336418628693 3820:0.18519091606140137 2741:0.18508169054985046 3781:0.184963658452034 2933:0.18483009934425354 2932:0.18474990129470825 3541:0.18454475700855255 3606:0.18447694182395935 2918:0.1844763606786728 3154:0.1844542920589447 2891:0.1843445599079132 2799:0.18419063091278076 3819:0.1841317117214203 3645:0.1840403974056244 2738:0.18403954803943634 3110:0.18387934565544128 2916:0.18387004733085632 3166:0.18382541835308075 3125:0.18381795287132263 2729:0.18380339443683624 3904:0.1835930049419403
2,2390:0.9983713626861572 1685:0.9972268342971802 2022:0.9972227215766907 1649:0.996711254119873 987:0.996536135673523 1119:0.9964763522148132 2181:0.9959777593612671 2071:0.9959114193916321 2432:0.9957945346832275 1143:0.9957911968231201 2168:0.9957448840141296 2201:0.9957069158554077 2060:0.995514988899231 1820:0.9955046772956848 2507:0.9952720403671265 1929:0.9950168132781982 1900:0.9948380589485168 2535:0.9946200847625732 2055:0.9946140050888062 1062:0.994604229927063 1968:0.9945499300956726 2204:0.9944995641708374 1084:0.9942800402641296 1004:0.9941462874412537 1959:0.9940223693847656 1941:0.9940136075019836 1576:0.9937800765037537 1524:0.9935532808303833 1964:0.9932185411453247 2056:0.9930246472358704 1919:0.9927501678466797 1094:0.9926590323448181 2421:0.992497980594635 1938:0.9922728538513184 1526:0.9921004176139832 1431:0.9920519590377808 1617:0.99165278673172 2172:0.9916144609451294 2068:0.9916115999221802 1618:0.9916056990623474 911:0.9915315508842468 1694:0.9914988875389099 1965:0.9914881587028503 1585:0.9914772510528564 1926:0.9911146759986877 1935:0.9909953474998474 1076:0.9907478094100952 2206:0.9906188249588013 2540:0.990469217300415 2569:0.9903464913368225 2309:0.9902572631835938 1095:0.9901145100593567 1661:0.9900039434432983 1769:0.9898983836174011 1986:0.9891875982284546 2220:0.9890541434288025 879:0.9890113472938538 2357:0.9886122345924377 2598:0.9885231256484985 2575:0.988352358341217 2422:0.9881342649459839 2200:0.9879917502403259 1835:0.987807035446167 2186:0.9876054525375366 1017:0.9875606298446655 2271:0.9872792363166809 2253:0.9871046543121338 899:0.9870780110359192 2128:0.9870705008506775 2547:0.9870231747627258 2020:0.9869175553321838 1529:0.9868877530097961 1161:0.9867942333221436 1117:0.9867188930511475 2213:0.9866399168968201 2202:0.986552894115448 1586:0.9864124655723572 1144:0.9862653613090515 2169:0.986150860786438 1419:0.9860662817955017 1124:0.985971212387085 2346:0.9859479069709778 2625:0.9857605695724487 1421:0.9856786727905273 1433:0.9856153726577759 1615:0.9855158925056458 1955:0.9853827953338623 2508:0.9852901101112366 894:0.9851470589637756 1977:0.9850969314575195 1038:0.9849197268486023 1854:0.9848899245262146 2544:0.9847233295440674 2027:0.9846512675285339 2377:0.9846458435058594 876:0.9846278429031372 2550:0.9845330715179443 1671:0.9844987392425537 2167:0.9842851758003235 1999:0.9841454029083252
3,282:0.19943243265151978 3737:0.1982690840959549 387:0.19778606295585632 3572:0.1924797147512436 3834:0.19190561771392822 548:0.19156913459300995 2926:0.19092188775539398 3486:0.19051364064216614 2888:0.1900245100259781 3485:0.18964309990406036 3616:0.189496248960495 2744:0.1894914209842682 3543:0.18929871916770935 3902:0.1889527589082718 3618:0.18811418116092682 3284:0.1877092719078064 671:0.1876426786184311 3293:0.18759368360042572 3168:0.18741218745708466 361:0.18736392259597778 2890:0.18736283481121063 2745:0.18694129586219788 3614:0.18672463297843933 3532:0.18664830923080444 3903:0.18658342957496643 3306:0.18653172254562378 3664:0.18601222336292267 3617:0.1859923154115677 3722:0.18594203889369965 4821:0.18591336905956268 4649:0.18576979637145996 2766:0.1857585459947586 2899:0.18564166128635406 3721:0.185580313205719 2887:0.1855306327342987 4650:0.1854858547449112 2767:0.18547923862934113 3531:0.18533577024936676 2805:0.18527814745903015 2841:0.1845468133687973 3166:0.18446677923202515 3294:0.18436527252197266 2821:0.18431852757930756 3283:0.18430162966251373 2925:0.18426252901554108 741:0.18397681415081024 4703:0.1837468445301056 3619:0.1835618019104004 3312:0.18353764712810516 3124:0.18351271748542786 3723:0.183401957154274 3154:0.18340176343917847 3620:0.18330399692058563 2957:0.1830441951751709 4581:0.18295222520828247 3291:0.18262021243572235 3122:0.1825793832540512 3149:0.18257568776607513 2740:0.18250969052314758 3662:0.18250863254070282 4563:0.18248291313648224 4538:0.1823330819606781 3645:0.18213433027267456 3679:0.18206611275672913 4582:0.18197886645793915 3027:0.18192718923091888 3292:0.18189528584480286 3900:0.18171998858451843 3288:0.18168453872203827 3820:0.18161600828170776 3747:0.18153274059295654 3817:0.18152107298374176 3813:0.181497722864151 2919:0.18148818612098694 2918:0.18138718605041504 4578:0.18133050203323364 4580:0.18117821216583252 3825:0.18117468059062958 2933:0.18117403984069824 3784:0.18112267553806305 3824:0.18099281191825867 4541:0.18098898231983185 3072:0.18098054826259613 3758:0.1809592843055725 3281:0.18073460459709167 2799:0.18063193559646606 3542:0.18048685789108276 4778:0.1803865283727646 3781:0.18028895556926727 3311:0.18022926151752472 2741:0.18022193014621735 4779:0.18016932904720306 3546:0.18012726306915283 3724:0.17997074127197266 2729:0.17991264164447784 3110:0.1795579493045807 2927:0.17954066395759583 238:0.17953388392925262 3125:0.1795090138912201 3879:0.17950573563575745
4,4176:0.8300207257270813 4302:0.7801670432090759 4128:0.7212617993354797 4290:0.7097516655921936 618:0.7003231644630432 4081:0.6802766919136047 1212:0.6764110922813416 4150:0.6573166251182556 4201:0.6406192183494568 5021:0.6382485628128052 4273:0.6375536322593689 1499:0.6371942162513733 3960:0.6220735907554626 244:0.5850672721862793 431:0.5744954943656921 3994:0.5553812980651855 5115:0.5353881120681763 4208:0.5273746252059937 1120:0.5251462459564209 4157:0.5198717713356018 4110:0.5164750814437866 3952:0.5158688426017761 4396:0.5042732954025269 4204:0.4826183021068573 4211:0.4694184958934784 4184:0.46504807472229004 4147:0.46440720558166504 1376:0.4641718566417694 1194:0.4625926911830902 4016:0.46220067143440247 4170:0.4497731924057007 1227:0.4477456212043762 4006:0.4460686445236206 1467:0.4428604543209076 4300:0.4422062933444977 1235:0.43302276730537415 1196:0.43216779828071594 4834:0.4290564954280853 3483:0.4245053827762604 4729:0.42243555188179016 462:0.41683128476142883 4858:0.4163529574871063 1351:0.41597577929496765 3931:0.40304359793663025 1388:0.39628511667251587 3991:0.39233484864234924 4391:0.39072903990745544 4227:0.38784053921699524 1389:0.38571861386299133 447:0.379412978887558 4830:0.3769613206386566 4181:0.37521860003471375 4354:0.37316033244132996 4277:0.37276461720466614 997:0.36652636528015137 1597:0.36362531781196594 503:0.3628108501434326 4349:0.36176955699920654 4390:0.36062225699424744 4285:0.3551817834377289 1145:0.351488322019577 996:0.35015925765037537 4321:0.35005199909210205 550:0.3450540602207184 1314:0.34295058250427246 1448:0.3428442180156708 4223:0.342488557100296 1327:0.33924418687820435 925:0.33766475319862366 953:0.3365246057510376 4946:0.3348255753517151 964:0.3345333933830261 4049:0.3341602385044098 5064:0.3339330852031708 4267:0.3337659537792206 943:0.3310047388076782 4096:0.3294907510280609 1061:0.32677897810935974 4927:0.32667648792266846 4248:0.3263355791568756 354:0.3262138068675995 4406:0.32386037707328796 926:0.32102495431900024 1098:0.32095566391944885 4228:0.3208467960357666 299:0.3203630745410919 458:0.31953802704811096 795:0.31672629714012146 297:0.312286376953125 4819:0.30875730514526367 1378:0.30795425176620483 553:0.3042498528957367 1557:0.3036682903766632 288:0.30358588695526123 929:0.30302703380584717 4291:0.2996084988117218 1147:0.2995176613330841 974:0.2993914783000946 555:0.2990773618221283 1055:0.2968193292617798
5,2889:0.2200721949338913 282:0.21075093746185303 387:0.20300711691379547 741:0.20249436795711517 3019:0.198691263794899 805:0.19701829552650452 548:0.1965906023979187 3614:0.19374889135360718 155:0.19310452044010162 3020:0.19243435561656952 4697:0.19138386845588684 3619:0.18773327767848969 671:0.18642745912075043 3543:0.18575048446655273 3121:0.18505427241325378 3737:0.18463234603405 2980:0.18458248674869537 4649:0.18416030704975128 3166:0.18408040702342987 3573:0.18352101743221283 3572:0.18332558870315552 3901:0.1831282675266266 3487:0.1799268275499344 3154:0.17926909029483795 3747:0.17922285199165344 4821:0.17885760962963104 3027:0.17818696796894073 3284:0.17781808972358704 3289:0.17715364694595337 3797:0.17693497240543365 3312:0.17693361639976501 4578:0.17656703293323517 3843:0.1765257865190506 2821:0.1765134036540985 3879:0.17643874883651733 3481:0.1761081963777542 3645:0.1760839819908142 2732:0.17607846856117249 2926:0.17588187754154205 4696:0.17574924230575562 4648:0.17566828429698944 4541:0.17552496492862701 3817:0.17551927268505096 361:0.17510925233364105 3693:0.17509689927101135 2925:0.1747262179851532 2890:0.17466777563095093 3561:0.17448927462100983 3613:0.1744062751531601 3168:0.1743936836719513 3560:0.17409540712833405 3822:0.17368866503238678 3706:0.17362447082996368 3026:0.17336532473564148 836:0.17335787415504456 2887:0.17331671714782715 4635:0.1732664704322815 3723:0.1732652485370636 4799:0.17317649722099304 2918:0.1730419397354126 3856:0.17301857471466064 2917:0.17274023592472076 3532:0.17264479398727417 2927:0.17237995564937592 3855:0.17212647199630737 2929:0.1721191257238388 2919:0.17209820449352264 3820:0.172028586268425 2957:0.17188718914985657 2933:0.17168880999088287 2799:0.17151203751564026 3544:0.1715099960565567 4563:0.17149032652378082 3471:0.17137333750724792 261:0.1713237464427948 4703:0.17115415632724762 3028:0.17115245759487152 2886:0.17091591656208038 2765:0.17062169313430786 768:0.17061126232147217 3630:0.17052772641181946 2745:0.1704271137714386 2729:0.17033211886882782 3306:0.17029699683189392 835:0.1702646166086197 2864:0.17024216055870056 2733:0.17011593282222748 3359:0.17004285752773285 3888:0.16994404792785645 238:0.16987815499305725 3149:0.16980186104774475 3296:0.16949500143527985 3745:0.1694544106721878 3016:0.16934557259082794 3486:0.16919489204883575 3781:0.1691574901342392 3208:0.169109508395195 3110:0.16910256445407867 3620:0.169102281332016 4537:0.16905169188976288
6,3834:0.22590862214565277 2744:0.22454218566417694 2888:0.2227255254983902 3293:0.22245915234088898 3618:0.21384942531585693 2767:0.2137901335954666 3485:0.21373026072978973 3664:0.21208389103412628 3722:0.2117956131696701 3903:0.21147119998931885 3902:0.2109406441450119 4650:0.21023954451084137 3616:0.20985528826713562 3486:0.20830902457237244 3531:0.20765817165374756 2766:0.20688779652118683 3294:0.2057647407054901 2841:0.20466096699237823 3283:0.2042868286371231 3291:0.20397023856639862 3662:0.20395202934741974 2899:0.20385313034057617 3721:0.20283934473991394 3617:0.20247001945972443 2926:0.20241056382656097 3124:0.20230112969875336 2805:0.20224006474018097 4581:0.20221585035324097 2745:0.20196737349033356 3737:0.20124773681163788 3306:0.20010598003864288 2740:0.20007334649562836 3679:0.19901731610298157 3532:0.19849354028701782 3292:0.19848692417144775 3168:0.19816167652606964 3288:0.1980459988117218 3542:0.19742479920387268 4778:0.19722922146320343 361:0.1970979869365692 3281:0.19672110676765442 3572:0.19629718363285065 2890:0.19613006711006165 4779:0.1955844610929489 3122:0.19541895389556885 3620:0.1951063871383667 3825:0.19492951035499573 3784:0.1949150115251541 3724:0.19481448829174042 3900:0.19478246569633484 2887:0.1947450041770935 3824:0.1945856511592865 4538:0.19454579055309296 3284:0.19440050423145294 3072:0.19420126080513 4703:0.19406425952911377 2743:0.19405171275138855 4582:0.1939738243818283 3546:0.19387763738632202 3149:0.19342021644115448 3758:0.1929386407136917 3311:0.19272282719612122 3290:0.19242385029792786 2957:0.1923888921737671 2881:0.1923736333847046 3813:0.19211143255233765 4580:0.1920381337404251 3541:0.1918472945690155 3723:0.19170422852039337 2891:0.19139808416366577 2932:0.19136586785316467 3606:0.19094370305538177 2925:0.19086135923862457 2738:0.1907052844762802 4563:0.19065432250499725 2741:0.1906026154756546 3781:0.1905774474143982 3904:0.19057221710681915 2842:0.19056984782218933 3126:0.1901569664478302 2919:0.18975695967674255 3286:0.18968741595745087 3819:0.1896301805973053 2742:0.18952777981758118 2916:0.18929240107536316 2843:0.18926389515399933 4821:0.18907874822616577 2821:0.18907411396503448 3110:0.18895640969276428 2931:0.18891571462154388 3820:0.1888332962989807 2933:0.18882732093334198 3608:0.18882238864898682 3125:0.188808873295784 2882:0.18873102962970734 3543:0.18842695653438568 2729:0.18837152421474457 3530:0.18833322823047638 2924:0.18825837969779968 2799:0.18816202878952026
7,4415:0.755575954914093 1307:0.6210198402404785 362:0.6178120970726013 4780:0.5803587436676025 5022:0.5797598361968994 430:0.5282259583473206 517:0.47421982884407043 276:0.391188383102417 770:0.39033135771751404 4628:0.3692041039466858 37:0.3687363564968109 4698:0.3646802008152008 440:0.3423578143119812 117:0.31051889061927795 2737:0.3086596131324768 354:0.30539149045944214 3725:0.29512879252433777 3931:0.29080650210380554 253:0.28612157702445984 1389:0.28544846177101135 4556:0.27467191219329834 4110:0.27119776606559753 929:0.2709197998046875 280:0.26741528511047363 4170:0.26713258028030396 3872:0.2633841037750244 329:0.2628512978553772 795:0.26143622398376465 555:0.2597450315952301 1196:0.25780409574508667 539:0.24952644109725952 311:0.24857178330421448 3484:0.24745476245880127 559:0.24416282773017883 392:0.23369601368904114 1587:0.23287741839885712 365:0.23148061335086823 4700:0.2295568585395813 4228:0.22749851644039154 152:0.22232069075107574 4006:0.22197777032852173 4692:0.22106166183948517 215:0.21500341594219208 4300:0.21359746158123016 730:0.21304842829704285 725:0.21151909232139587 97:0.2104436159133911 4273:0.20847751200199127 550:0.2055889517068863 4731:0.2049112468957901 447:0.2038169950246811 3527:0.199238121509552 4702:0.1984470784664154 4227:0.19614054262638092 2988:0.1955852210521698 1227:0.19191890954971313 431:0.19147799909114838 651:0.18916484713554382 3091:0.18893711268901825 817:0.1881140023469925 4184:0.18726816773414612 3373:0.18622687458992004 3133:0.1861211061477661 148:0.1853041648864746 3810:0.18515174090862274 1011:0.18500621616840363 3887:0.1829315423965454 2801:0.180275097489357 4681:0.17999058961868286 342:0.17989839613437653 3134:0.17936931550502777 3445:0.17933493852615356 4553:0.1792323738336563 4471:0.1782102882862091 5120:0.1773729771375656 83:0.1772451251745224 411:0.1767299473285675 2870:0.17553046345710754 279:0.1752385050058365 3351:0.17380093038082123 3488:0.17371736466884613 3172:0.1731383502483368 2996:0.17270538210868835 2983:0.17248378694057465 2784:0.17218224704265594 565:0.17194081842899323 3818:0.17182324826717377 3528:0.17126552760601044 469:0.17025740444660187 3347:0.1698613166809082 786:0.169733464717865 4773:0.16963812708854675 4157:0.16957731544971466 769:0.16832676529884338 3644:0.168077751994133 2695:0.16778376698493958 239:0.16756883263587952 3349:0.16738440096378326 4819:0.16715556383132935 290:0.16686320304870605
8,3834:0.20160089433193207 3737:0.20003005862236023 2888:0.19964145123958588 2744:0.19945357739925385 3293:0.19740162789821625 3485:0.19677592813968658 3486:0.19605985283851624 3618:0.19571442902088165 3616:0.19563932716846466 3902:0.195377916097641 282:0.19478046894073486 387:0.1947338879108429 2926:0.1945503056049347 3572:0.19408084452152252 3903:0.19361266493797302 2767:0.1934497058391571 3664:0.19341513514518738 3722:0.1932440996170044 4650:0.19248367846012115 2766:0.19183427095413208 3531:0.19181358814239502 2745:0.191373810172081 2899:0.19113516807556152 3617:0.19098727405071259 3306:0.1907496303319931 3168:0.1906835436820984 3721:0.1906440109014511 3294:0.19061140716075897 2841:0.1904066652059555 361:0.1903877556324005 2890:0.19033612310886383 2805:0.19027911126613617 3532:0.19025328755378723 3283:0.19004443287849426 3284:0.18994268774986267 3543:0.18949374556541443 548:0.18930700421333313 3124:0.1888732761144638 3291:0.1887412965297699 3662:0.18865597248077393 4581:0.18858414888381958 2887:0.18851077556610107 2740:0.18766483664512634 671:0.1874336451292038 4821:0.18724998831748962 3620:0.1869848519563675 4703:0.18695171177387238 3679:0.18694882094860077 3292:0.18677541613578796 2925:0.1864808350801468 3288:0.18644122779369354 3122:0.1863345056772232 2821:0.1860114336013794 4538:0.1859777420759201 3723:0.18594038486480713 2957:0.18589743971824646 3149:0.18589644134044647 4649:0.1858414262533188 4582:0.18567149341106415 3900:0.18562494218349457 3542:0.18545639514923096 3281:0.1853822022676468 4778:0.1853116899728775 3825:0.18521559238433838 3784:0.1851728856563568 4563:0.185159832239151 3824:0.1850411295890808 3312:0.18491125106811523 3072:0.18487043678760529 3813:0.18480226397514343 4779:0.1846650391817093 4580:0.18454405665397644 3758:0.18441227078437805 3614:0.18437941372394562 3724:0.1842932254076004 3546:0.18423834443092346 3154:0.18412327766418457 3166:0.18410927057266235 3311:0.18396948277950287 3820:0.1839429885149002 2919:0.18391604721546173 2743:0.18372800946235657 2933:0.18353861570358276 3645:0.18340371549129486 2918:0.18339751660823822 2741:0.18334293365478516 3781:0.18327654898166656 3290:0.18326549232006073 2881:0.18317891657352448 2799:0.1829286515712738 3817:0.1828070431947708 2932:0.1827402412891388 3027:0.1824573576450348 3606:0.18245291709899902 2729:0.18240861594676971 3819:0.1823771446943283 3541:0.18232783675193787 3110:0.18232642114162445 4578:0.18228106200695038 3125:0.1822732836008072
9,4062:0.7029245495796204 4311:0.6381529569625854 3956:0.6123990416526794 3965:0.6090037822723389 1134:0.605158805847168 3986:0.5930612087249756 1417:0.590215802192688 1568:0.5794097185134888 1423:0.5720542669296265 1321:0.566379725933075 1123:0.565278172492981 1153:0.5622748136520386 4854:0.5599017143249512 1116:0.5560259819030762 4360:0.5555210709571838 878:0.5550510287284851 4210:0.5501564741134644 3916:0.5487764477729797 4392:0.5474974513053894 4061:0.5458415150642395 4044:0.5453494191169739 4944:0.5451517105102539 1569:0.5389801859855652 1570:0.5372705459594727 4169:0.537125825881958 4781:0.5362598896026611 3999:0.5333119034767151 4156:0.5307196974754333 4209:0.5304650068283081 1456:0.530194103717804 1449:0.530083954334259 4835:0.5295974016189575 1592:0.5286723971366882 1571:0.5282751321792603 5025:0.5273236036300659 3930:0.5262864232063293 872:0.5254329442977905 1211:0.524739682674408 4202:0.524486243724823 1430:0.5244135856628418 1203:0.524216890335083 4319:0.5219906568527222 1320:0.5219094157218933 4066:0.5217196345329285 5111:0.5216957330703735 1000:0.5209456086158752 1330:0.5207849740982056 4149:0.5207505226135254 4098:0.5198537111282349 916:0.5195730328559875 4237:0.5165258049964905 4203:0.5125348567962646 1207:0.5112155079841614 1305:0.5098961591720581 4134:0.5088537931442261 4924:0.5076407194137573 1413:0.5068384408950806 4015:0.5058518052101135 1085:0.5057318210601807 4125:0.5044490098953247 3984:0.5032248497009277 4307:0.5018706917762756 4139:0.4996841549873352 1347:0.4994905889034271 4855:0.49902042746543884 3954:0.4988163411617279 4116:0.4987819492816925 1535:0.4987712502479553 5116:0.4986671805381775 4851:0.4980790913105011 4393:0.49785706400871277 4947:0.4970690906047821 1489:0.4956584572792053 4012:0.4950069189071655 3915:0.49493321776390076 4304:0.4943092167377472 4215:0.4936533272266388 4294:0.49321696162223816 3926:0.4931313693523407 5091:0.4926929771900177 4925:0.4926840662956238 4189:0.4922250211238861 1049:0.49193233251571655 4856:0.49189549684524536 4316:0.4915624260902405 4859:0.4913167655467987 4113:0.489102840423584 4151:0.48809927701950073 5114:0.4877162575721741 779:0.4876753091812134 4180:0.4876687228679657 1362:0.48726046085357666 3961:0.4865746796131134 4158:0.4865730404853821 3972:0.4859055280685425 1463:0.4858543872833252 4239:0.4842114746570587 4127:0.48410138487815857 4148:0.48393991589546204 1318:0.4820750653743744
