track_index,cluster_memval
9,7:0.3687363564968109 4:0.19831901788711548 0:0.06930600851774216 5:0.06523075699806213 9:0.060306210070848465 3:0.05960627645254135 8:0.058243293315172195 1:0.05750419199466705 6:0.055249880999326706 2:0.007498013786971569
9,6:0.11127255111932755 1:0.11103135347366333 8:0.11095989495515823 3:0.11083415895700455 5:0.11037147045135498 7:0.10149253904819489 4:0.09505197405815125 0:0.08940214663743973 9:0.08856047689914703 2:0.07102343440055847
9,6:0.1178523451089859 1:0.11777420341968536 8:0.11774662882089615 3:0.11769386380910873 5:0.11745891720056534 7:0.10582173615694046 4:0.09324628114700317 0:0.08188467472791672 9:0.08029372990131378 2:0.05022762343287468
9,6:0.11257300525903702 1:0.11247460544109344 8:0.11244358867406845 3:0.11238712072372437 5:0.1121578961610794 7:0.10402169823646545 4:0.09623957425355911 0:0.08868035674095154 9:0.08746461570262909 2:0.06155754625797272
9,5:0.11520165205001831 3:0.11487149447202682 8:0.11479013413190842 1:0.11474800854921341 6:0.11465059965848923 7:0.1112339198589325 4:0.099371038377285 0:0.08613334596157074 9:0.08399800211191177 2:0.045001816004514694
9,6:0.10726559162139893 1:0.10713474452495575 8:0.10709148645401001 3:0.1070123240351677 5:0.10669982433319092 7:0.10061908513307571 4:0.09660351276397705 0:0.09318999201059341 9:0.09268999099731445 2:0.08169344812631607
9,6:0.10805177688598633 1:0.10791505873203278 8:0.10787269473075867 3:0.10779672861099243 5:0.10750553756952286 7:0.10126148164272308 4:0.09661533683538437 0:0.09246581047773361 9:0.09184905886650085 2:0.07866651564836502
9,6:0.11757838726043701 1:0.11715810000896454 8:0.11703295260667801 3:0.11681240051984787 5:0.11599910259246826 7:0.10118368268013 4:0.0912371277809143 0:0.08292458951473236 9:0.08171047270298004 2:0.05836319550871849
9,7:0.16076365113258362 4:0.12674802541732788 5:0.10964297503232956 3:0.10548315197229385 8:0.10440317541360855 1:0.10380366444587708 6:0.10189826041460037 0:0.08572200685739517 9:0.08046162873506546 2:0.021073447540402412
9,6:0.1208154708147049 1:0.1203279122710228 8:0.12017277628183365 3:0.11989287286996841 5:0.11881772428750992 7:0.0994592010974884 4:0.0878617987036705 0:0.07901708781719208 9:0.07781611382961273 2:0.055819038301706314
9,6:0.11230817437171936 1:0.11204207688570023 8:0.11195821315050125 3:0.11180727183818817 5:0.11122828722000122 7:0.10038354247808456 4:0.09355461597442627 0:0.08801200985908508 9:0.08721664547920227 2:0.07148917019367218
9,6:0.1069144606590271 1:0.10677573084831238 8:0.10673516988754272 3:0.10666416585445404 5:0.1064056009054184 7:0.10142455995082855 4:0.09747869521379471 0:0.09378618001937866 9:0.09322704374790192 2:0.08058839291334152
9,6:0.10995858162641525 1:0.10992778092622757 8:0.10991015285253525 3:0.10987285524606705 5:0.10968713462352753 7:0.10280127823352814 4:0.09640015661716461 0:0.09052243083715439 9:0.08969362080097198 2:0.07122600078582764
9,6:0.13271941244602203 1:0.13172079622745514 8:0.13141398131847382 3:0.1308676302433014 5:0.1288202852010727 7:0.09561940282583237 4:0.07843537628650665 0:0.06642752885818481 9:0.06482993811368942 2:0.03914565220475197
9,6:0.11742954701185226 1:0.11698684841394424 8:0.11685026437044144 3:0.11660660803318024 5:0.11569049209356308 7:0.09991884231567383 4:0.09037335962057114 0:0.0828312560915947 9:0.08176912367343903 2:0.06154365465044975
9,6:0.12602214515209198 1:0.12589365243911743 8:0.12583167850971222 3:0.12570489943027496 5:0.1251000463962555 7:0.10363833606243134 4:0.0860285684466362 0:0.07222875207662582 9:0.07039912790060043 2:0.039152782410383224
9,6:0.11137638241052628 1:0.111152283847332 8:0.11108765751123428 3:0.11097508668899536 5:0.11056864261627197 7:0.10242237895727158 4:0.095747210085392 0:0.08955410867929459 9:0.08861645311117172 2:0.06849980354309082
9,6:0.10837433487176895 1:0.10818278789520264 8:0.10812482982873917 3:0.10802214592695236 5:0.10764013975858688 7:0.10070855170488358 4:0.09608003497123718 0:0.09213858097791672 9:0.09155259281396866 2:0.07917600870132446
9,6:0.12506736814975739 1:0.12472546845674515 8:0.12460874766111374 3:0.12439241260290146 5:0.12351208925247192 7:0.10196899622678757 4:0.08651593327522278 0:0.07429583370685577 9:0.07257718592882156 2:0.04233596846461296
9,6:0.11427365988492966 1:0.11406943947076797 8:0.11399994045495987 3:0.11387144029140472 5:0.11335244029760361 7:0.10179167240858078 4:0.09360215812921524 0:0.08656593412160873 9:0.08549786359071732 2:0.0629754513502121
9,6:0.14666087925434113 1:0.14608724415302277 8:0.1458778828382492 3:0.14547878503799438 5:0.14375072717666626 7:0.09419339895248413 4:0.06551143527030945 0:0.04803074523806572 9:0.04590335115790367 2:0.018505554646253586
9,9:0.295823335647583 0:0.268031507730484 4:0.13224700093269348 2:0.1251068264245987 7:0.06166486442089081 5:0.024543194100260735 3:0.02352016046643257 8:0.023262446746230125 1:0.023120878264307976 6:0.022679762914776802
9,6:0.10664232075214386 1:0.1064998209476471 8:0.10645706951618195 3:0.10638155788183212 5:0.10610221326351166 7:0.10094479471445084 4:0.09721128642559052 0:0.09387733042240143 9:0.09338338673114777 2:0.08250021934509277
9,6:0.11112777888774872 1:0.11092288792133331 8:0.11086354404687881 3:0.11075997352600098 5:0.11038433015346527 7:0.1025037094950676 4:0.09586533904075623 0:0.08972276747226715 9:0.08880347013473511 2:0.06904619932174683
9,6:0.142792209982872 1:0.1414167732000351 8:0.14097610116004944 3:0.14018048346042633 5:0.13713209331035614 7:0.0901351198554039 4:0.06909843534231186 0:0.05572328716516495 9:0.054009970277547836 2:0.028535528108477592
9,6:0.13589541614055634 1:0.1348114013671875 8:0.13446177542209625 3:0.13382862508296967 5:0.13138705492019653 7:0.09293832629919052 4:0.07505667209625244 0:0.06314434111118317 9:0.061583831906318665 2:0.03689256310462952
9,6:0.1735130250453949 1:0.17008833587169647 8:0.16895915567874908 3:0.16690367460250854 5:0.15896564722061157 7:0.06338220834732056 4:0.037975013256073 0:0.026033587753772736 9:0.024716760963201523 2:0.009462587535381317
9,6:0.10619226098060608 1:0.10611655563116074 8:0.10609277337789536 3:0.10604982823133469 5:0.1058814600110054 7:0.10161279886960983 4:0.09814772009849548 0:0.09479708224534988 9:0.09423889964818954 2:0.0808706134557724
9,6:0.10524412244558334 1:0.10513706505298615 8:0.10510838776826859 3:0.10506006330251694 5:0.10489704459905624 7:0.10182961821556091 4:0.09907513111829758 0:0.09613833576440811 9:0.09560789912939072 2:0.08190233260393143
9,6:0.12050414830446243 1:0.12005702406167984 8:0.11991498619318008 3:0.11965848505496979 5:0.11866829544305801 7:0.0999162420630455 4:0.0883423462510109 0:0.07934330403804779 9:0.0781034529209137 2:0.055491723120212555
9,4:0.16379348933696747 0:0.15975812077522278 9:0.1566474288702011 7:0.1309424489736557 5:0.06961763650178909 3:0.06705764681100845 8:0.06639841943979263 1:0.06603295356035233 6:0.06487041711807251 2:0.05488143116235733
9,6:0.10636214166879654 1:0.10629069060087204 8:0.10626467317342758 3:0.1062154620885849 5:0.10600939393043518 7:0.10120127350091934 4:0.09754002839326859 0:0.09421857446432114 9:0.0937279760837555 2:0.0821697860956192
9,6:0.16955691576004028 1:0.1658260077238083 8:0.1646639108657837 3:0.16259339451789856 5:0.15491829812526703 7:0.0676877573132515 4:0.042915571480989456 0:0.030571704730391502 9:0.029166031628847122 2:0.012100405991077423
9,9:0.40131133794784546 0:0.34846603870391846 4:0.11378448456525803 2:0.0390658862888813 7:0.03866906464099884 5:0.012394937686622143 3:0.011794201098382473 8:0.011644185520708561 1:0.011562048457562923 6:0.011307809501886368
9,6:0.10969029366970062 1:0.10962317883968353 8:0.10959889739751816 3:0.10955289751291275 5:0.10935671627521515 7:0.10292783379554749 4:0.09694866091012955 0:0.0912964791059494 9:0.09042838215827942 2:0.07057665288448334
9,6:0.13090649247169495 1:0.13048456609249115 8:0.13033705949783325 3:0.13006116449832916 5:0.12892016768455505 7:0.10094090551137924 4:0.08174401521682739 0:0.06731943786144257 9:0.06536371260881424 2:0.0339224636554718
9,6:0.10693150013685226 1:0.10679350048303604 8:0.10675138235092163 3:0.10667648166418076 5:0.10639601945877075 7:0.10103560984134674 4:0.09707244485616684 0:0.09355083853006363 9:0.09303902834653854 2:0.0817531868815422
9,6:0.10691920667886734 1:0.10686350613832474 8:0.10685233771800995 3:0.10683616995811462 5:0.1067981868982315 7:0.10455577820539474 4:0.10052720457315445 0:0.09546315670013428 9:0.09452652186155319 2:0.07065793126821518
9,6:0.1311301738023758 1:0.13031265139579773 8:0.1300480216741562 3:0.12956784665584564 5:0.12770475447177887 7:0.09594452381134033 4:0.07962614297866821 0:0.06816262006759644 9:0.06661109626293182 2:0.040892161428928375
9,5:0.10389553010463715 3:0.10385366529226303 8:0.10384545475244522 1:0.1038418859243393 6:0.1038401871919632 7:0.1031448021531105 4:0.10055768489837646 0:0.09735193103551865 9:0.09683459997177124 2:0.08283425867557526
9,6:0.11635958403348923 1:0.11604268848896027 8:0.11593766510486603 3:0.11574548482894897 5:0.11498714983463287 7:0.10037171095609665 4:0.09129048138856888 0:0.08405572921037674 9:0.08301211148500443 2:0.062197402119636536
9,6:0.1056913509964943 1:0.10557587444782257 8:0.10554139316082001 3:0.10548057407140732 5:0.10525628924369812 7:0.10099583864212036 4:0.09775103628635406 0:0.09479875862598419 9:0.0943625345826149 2:0.08454637229442596
9,6:0.10957018285989761 1:0.10949951410293579 8:0.10947025567293167 3:0.1094127893447876 5:0.10915553569793701 7:0.10191971808671951 4:0.09624103456735611 0:0.0911559984087944 9:0.09039386361837387 2:0.07318110018968582
9,7:0.11009944975376129 5:0.1060047373175621 4:0.10543061792850494 3:0.10533108562231064 8:0.10514337569475174 1:0.10503651201725006 6:0.1046813428401947 0:0.09782295674085617 9:0.0964910238981247 2:0.06395889818668365
9,6:0.11146461963653564 1:0.11135925352573395 8:0.11131744831800461 3:0.11123642325401306 5:0.11088346689939499 7:0.10183059424161911 4:0.09488852322101593 0:0.08892139047384262 9:0.08808522671461105 2:0.07001305371522903
9,5:0.11960287392139435 3:0.1191851794719696 8:0.11904198676347733 1:0.11895345151424408 6:0.1186024621129036 7:0.11120970547199249 4:0.0951082706451416 0:0.08003879338502884 9:0.07793378084897995 2:0.04032350331544876
9,7:0.1772451251745224 4:0.1428624540567398 5:0.10177077353000641 3:0.09723696857690811 8:0.09610358625650406 1:0.09548623114824295 6:0.09362157434225082 0:0.09147252887487411 9:0.0848778560757637 2:0.01932290941476822
9,6:0.12232539802789688 1:0.12183360755443573 8:0.12167532742023468 3:0.12138821929693222 5:0.12027065455913544 7:0.09944846481084824 4:0.08718651533126831 0:0.07769744098186493 9:0.07634797692298889 2:0.051826395094394684
9,1:0.12402075529098511 8:0.1240048035979271 6:0.12399554997682571 3:0.1239590048789978 5:0.123647540807724 7:0.10534489899873734 4:0.0882827490568161 0:0.07438105344772339 9:0.07249924540519714 2:0.03986439108848572
9,5:0.10362651199102402 6:0.10359108448028564 3:0.10358387231826782 8:0.10357819497585297 1:0.10357694327831268 7:0.10345802456140518 4:0.10153879970312119 0:0.09852868318557739 9:0.09792111814022064 2:0.08059676736593246
9,6:0.12256533652544022 1:0.12213447690010071 8:0.12199947983026505 3:0.12175639718770981 5:0.12081638723611832 7:0.10111475735902786 4:0.08806765079498291 0:0.07748693972826004 9:0.07594020664691925 2:0.04811836779117584
9,6:0.1476011425256729 1:0.14713937044143677 8:0.14696910977363586 3:0.14664101600646973 5:0.14518146216869354 7:0.09528831392526627 4:0.0643252581357956 0:0.04595230147242546 9:0.043812673538923264 2:0.01708938181400299
9,6:0.11962312459945679 1:0.11919397115707397 8:0.11906880885362625 3:0.11884971708059311 5:0.11804921180009842 7:0.10219313949346542 4:0.09059256315231323 0:0.08073069155216217 9:0.07928934693336487 2:0.05240943655371666
9,9:0.2771567702293396 0:0.24049827456474304 2:0.2391010820865631 4:0.10271558165550232 7:0.04720096290111542 5:0.019502419978380203 3:0.018735608085989952 8:0.01854287087917328 1:0.018437150865793228 6:0.018109260126948357
9,6:0.12885579466819763 1:0.12864065170288086 8:0.12855565547943115 3:0.12838929891586304 5:0.1276370882987976 7:0.10270030051469803 4:0.08366174250841141 0:0.0690188929438591 9:0.06705545634031296 2:0.035485103726387024
9,6:0.10593429207801819 1:0.10589059442281723 8:0.10587350279092789 3:0.1058405414223671 5:0.10569751262664795 7:0.10160770267248154 4:0.0980745181441307 0:0.09478695690631866 9:0.09428908675909042 2:0.08200529217720032
9,0:0.15430611371994019 9:0.1538376808166504 4:0.1453527808189392 7:0.11732934415340424 2:0.07846006751060486 5:0.0723128691315651 3:0.07033846527338028 8:0.06983261555433273 1:0.06955332309007645 6:0.06867674738168716
9,6:0.10817920416593552 1:0.10804916173219681 8:0.1080092191696167 3:0.10793788731098175 5:0.10766802728176117 7:0.10184045135974884 4:0.09696496278047562 0:0.0924551859498024 9:0.09179984778165817 2:0.07709605246782303
9,6:0.13951736688613892 1:0.13828326761722565 8:0.13788282871246338 3:0.13715633749961853 5:0.13434909284114838 7:0.09106061607599258 4:0.07167276740074158 0:0.059186264872550964 9:0.05760008096694946 2:0.03329138457775116
9,6:0.10777898132801056 1:0.10760610550642014 8:0.1075546145439148 3:0.10746386647224426 5:0.10712924599647522 7:0.10095372051000595 4:0.09660404920578003 0:0.09277001768350601 9:0.09219725430011749 2:0.07994213700294495
9,7:0.2104436159133911 4:0.13026899099349976 5:0.11024443060159683 3:0.10345416516065598 8:0.10172761231660843 1:0.10077553242444992 6:0.09777944535017014 0:0.06955324113368988 9:0.06341032683849335 2:0.01234263926744461
9,5:0.11227934807538986 3:0.11212645471096039 8:0.11206743866205215 1:0.11202971637248993 6:0.11187141388654709 7:0.10693155974149704 4:0.09825824946165085 0:0.08925672620534897 9:0.08785523474216461 2:0.057323865592479706
9,9:0.38805311918258667 0:0.3048873245716095 2:0.12787392735481262 4:0.08760524541139603 7:0.03332148864865303 5:0.012222629971802235 3:0.011698315851390362 8:0.011567363515496254 1:0.011495723389089108 6:0.011274843476712704
9,6:0.12398532032966614 1:0.1233871579170227 8:0.12320032715797424 3:0.12286558747291565 5:0.12159723788499832 7:0.09938538819551468 4:0.08603646606206894 0:0.07584069669246674 9:0.07443977892398834 2:0.04926202818751335
9,9:0.31314271688461304 0:0.27973073720932007 4:0.12803710997104645 2:0.11684176325798035 7:0.057035818696022034 5:0.022061534225940704 3:0.021127881482243538 8:0.020893298089504242 1:0.020764581859111786 6:0.020364565774798393
9,6:0.13327577710151672 1:0.1322072297334671 8:0.13187067210674286 3:0.13126647472381592 5:0.1289738267660141 7:0.09382916241884232 4:0.07734476774930954 0:0.0661461278796196 9:0.06464904546737671 2:0.04043691232800484
9,5:0.12662675976753235 3:0.12656711041927338 8:0.1265382021665573 1:0.12652061879634857 6:0.12646570801734924 7:0.10928454995155334 4:0.08795610070228577 0:0.07041846215724945 9:0.06802478432655334 2:0.03159771487116814
9,0:0.254869282245636 4:0.24204334616661072 9:0.23624426126480103 7:0.10369670391082764 5:0.029688959941267967 3:0.02806493081152439 8:0.02766314335167408 1:0.027444086968898773 6:0.02677280642092228 2:0.023512478917837143
9,7:0.141020268201828 4:0.11587481200695038 5:0.11378254741430283 3:0.11071168631315231 8:0.10988888889551163 1:0.10942646861076355 6:0.10791962593793869 0:0.08514086902141571 9:0.08086691796779633 2:0.02536790445446968
9,7:0.12781988084316254 4:0.11853676289319992 5:0.1050301045179367 3:0.10294689238071442 8:0.10238319635391235 1:0.10206447541713715 6:0.10100819915533066 0:0.10028964281082153 9:0.09741054475307465 2:0.04251030087471008
9,7:0.1154850423336029 4:0.11224184185266495 5:0.10381023585796356 3:0.10283465683460236 8:0.10258889198303223 0:0.10253147780895233 1:0.10245582461357117 6:0.10206887871026993 9:0.10056565701961517 2:0.055417489260435104
9,6:0.13084790110588074 1:0.13015155494213104 8:0.12992702424526215 3:0.12951965630054474 5:0.12793438136577606 7:0.09825428575277328 4:0.08098608255386353 0:0.06826842576265335 9:0.06651690602302551 2:0.037593767046928406
9,6:0.11439588665962219 1:0.1141623929142952 8:0.11408118903636932 3:0.11393013596534729 5:0.11331689357757568 7:0.10078635066747665 4:0.09263663738965988 0:0.08600914478302002 9:0.08506496995687485 2:0.06561639904975891
9,6:0.10944829136133194 1:0.10923834145069122 8:0.1091747060418129 3:0.10906178504228592 5:0.10863975435495377 7:0.10096906125545502 4:0.09588617086410522 0:0.09141001105308533 9:0.09070862084627151 2:0.07546325773000717
9,9:0.14048302173614502 0:0.1394127458333969 4:0.12738920748233795 2:0.11468109488487244 7:0.10723388195037842 5:0.07581242173910141 3:0.07430697977542877 8:0.0739215537905693 1:0.07370925694704056 6:0.07304982095956802
9,6:0.1296684592962265 1:0.12907275557518005 8:0.12887094914913177 3:0.12849867343902588 5:0.12700967490673065 7:0.09826468676328659 4:0.08144974708557129 0:0.06923900544643402 9:0.06762008368968964 2:0.040305957198143005
9,7:0.12488037347793579 5:0.12041960656642914 3:0.11865774542093277 8:0.1181834265589714 1:0.11791802942752838 6:0.11707226186990738 4:0.10178527235984802 0:0.07832324504852295 9:0.0749666690826416 2:0.027793368324637413
9,6:0.11224571615457535 1:0.1119791641831398 8:0.11189605295658112 3:0.11174704134464264 5:0.1111786887049675 7:0.10057280212640762 4:0.09392616897821426 0:0.08840514719486237 9:0.08756855875253677 2:0.07048065215349197
9,7:0.10587486624717712 4:0.10438187420368195 5:0.10204320400953293 3:0.1016460508108139 8:0.10154329985380173 1:0.10148698091506958 6:0.10131845623254776 0:0.10084175318479538 9:0.10018326342105865 2:0.080680251121521
9,6:0.11440549045801163 1:0.11406741291284561 8:0.11396549642086029 3:0.11378508061170578 5:0.11311495304107666 7:0.10098782926797867 4:0.09289617091417313 0:0.08611175417900085 9:0.0851268619298935 2:0.06553895026445389
9,7:0.31051889061927795 4:0.15090343356132507 5:0.09045574069023132 3:0.08309747278690338 8:0.08130160719156265 1:0.08032593131065369 6:0.07734227180480957 0:0.062444355338811874 9:0.05536874383687973 2:0.008241553790867329
9,6:0.11203891038894653 1:0.11186830699443817 8:0.11180776357650757 3:0.1116943210363388 5:0.11122704297304153 7:0.10105478763580322 4:0.09419045597314835 0:0.08847666531801224 9:0.08764627575874329 2:0.0699954703450203
9,5:0.14189665019512177 7:0.13737379014492035 3:0.13695970177650452 8:0.13562309741973877 1:0.1348717361688614 6:0.13244295120239258 4:0.0790969580411911 0:0.04693827033042908 9:0.043572891503572464 2:0.01122394111007452
9,4:0.18497855961322784 0:0.15697923302650452 9:0.14923211932182312 7:0.14801712334156036 5:0.06833107024431229 3:0.06549037247896194 8:0.06478564441204071 1:0.06440236419439316 6:0.06324456632137299 2:0.034538958221673965
9,6:0.10846753418445587 1:0.10830710828304291 8:0.10826099663972855 3:0.10818076878786087 5:0.1078912764787674 7:0.10201103985309601 4:0.09708520025014877 0:0.09239833801984787 9:0.09168251603841782 2:0.07571521401405334
9,4:0.18720819056034088 0:0.15867066383361816 9:0.15146517753601074 7:0.1493055671453476 5:0.0665443018078804 3:0.0636134073138237 8:0.06288056075572968 1:0.062480002641677856 6:0.06125155836343765 2:0.03658057004213333
9,6:0.12405212223529816 1:0.1233692318201065 8:0.12315841764211655 3:0.12278230488300323 5:0.1213679239153862 7:0.09806587547063828 4:0.0853177160024643 0:0.0758347287774086 9:0.07452462613582611 2:0.05152704566717148
