track_index,20cluster_memval
7,4:0.14512121677398682 7:0.13562017679214478 2:0.13380567729473114 1:0.13293369114398956 3:0.1328115165233612 6:0.1327676922082901 0:0.12224777042865753 5:0.06469225883483887 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,6:0.13347814977169037 3:0.13343703746795654 2:0.13310690224170685 7:0.13291120529174805 4:0.13111421465873718 1:0.11894208192825317 0:0.11415734142065048 5:0.10285308212041855 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,4:0.13386741280555725 7:0.1320430040359497 6:0.13145096600055695 3:0.13140150904655457 2:0.1313500702381134 1:0.12063123285770416 0:0.11732789129018784 5:0.10192793607711792 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,6:0.13381266593933105 3:0.13372977077960968 7:0.13347142934799194 2:0.13333848118782043 4:0.13227501511573792 1:0.1182645782828331 0:0.11365623772144318 5:0.1014518216252327 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,6:0.15959593653678894 3:0.15926724672317505 2:0.15749698877334595 7:0.15713387727737427 4:0.14911796152591705 1:0.09493555873632431 0:0.07833261787891388 5:0.04411980137228966 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,4:0.13441415131092072 7:0.13250084221363068 6:0.1318921595811844 3:0.13185738027095795 2:0.1318475306034088 1:0.12063255161046982 0:0.11691075563430786 5:0.09994462132453918 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,4:0.15340542793273926 7:0.15144376456737518 6:0.15063872933387756 3:0.1502607762813568 2:0.14905700087547302 1:0.09810850024223328 0:0.08738737553358078 5:0.059698428958654404 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,4:0.13314181566238403 7:0.13163435459136963 6:0.13115651905536652 3:0.13113026320934296 2:0.13111667335033417 1:0.12108585238456726 0:0.11775641143321991 5:0.10297810286283493 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,6:0.13537700474262238 3:0.1353387087583542 7:0.13518720865249634 2:0.13507428765296936 4:0.13459022343158722 1:0.1170906126499176 0:0.1114642322063446 5:0.09587772190570831 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
7,6:0.13333609700202942 3:0.13327915966510773 2:0.13294212520122528 7:0.13292746245861053 4:0.13158462941646576 1:0.11868158727884293 0:0.11418566852807999 5:0.10306326299905777 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0 0:0.0
