cluster_index,100track
0,937:0.9969270825386047 3282:0.9935064315795898 1004:0.9886002540588379 3876:0.9837529063224792 3674:0.98345947265625 3739:0.98324054479599 1230:0.9805387854576111 3527:0.9781145453453064 3646:0.9732300043106079 4059:0.9723988771438599 922:0.9711316227912903 3699:0.9696323871612549 3830:0.9648739695549011 1006:0.9608017206192017 3620:0.9602869749069214 3281:0.9591034054756165 3692:0.9582812190055847 3365:0.9514963030815125 3531:0.9455814361572266 4175:0.9421025514602661 3706:0.9379364848136902 887:0.9354185461997986 998:0.9345155954360962 3645:0.9326202869415283 3697:0.9325422644615173 947:0.9241657853126526 4240:0.9223804473876953 4079:0.9212108850479126 3818:0.9196167588233948 3597:0.9176183938980103 3550:0.916337251663208 1084:0.9134297370910645 4241:0.913086473941803 1144:0.9125769138336182 4135:0.9120038151741028 1229:0.9055110216140747 3691:0.9053578972816467 934:0.9052551984786987 4077:0.9049859642982483 357:0.9042405486106873 3284:0.9023760557174683 986:0.9015213847160339 3530:0.9000486135482788 1232:0.8971920013427734 4066:0.8970186114311218 1212:0.8964841365814209 3381:0.8931146860122681 1032:0.8922378420829773 1068:0.8907472491264343 3874:0.8895847797393799 1247:0.885508120059967 3644:0.8851092457771301 928:0.8848339915275574 3548:0.8836147785186768 4119:0.8829888105392456 3715:0.8802040219306946 1823:0.8790283799171448 3551:0.8772798180580139 544:0.8756843209266663 4129:0.8755492568016052 4262:0.8755008578300476 1201:0.8753268718719482 3795:0.8746870756149292 1203:0.8731719851493835 958:0.8712072372436523 543:0.8679229617118835 925:0.8672735691070557 4167:0.8669012784957886 4173:0.86468905210495 3833:0.8640713095664978 3582:0.8636770844459534 3814:0.8630104064941406 1019:0.8625708818435669 3639:0.8625140190124512 1108:0.8588235378265381 3704:0.8587628602981567 3852:0.8581741452217102 3364:0.8568273782730103 968:0.8541089296340942 3643:0.853333592414856 3279:0.8528802394866943 723:0.8525615334510803 1238:0.8525089025497437 3368:0.8520634770393372 3278:0.8514774441719055 496:0.8490197062492371 3317:0.8481371998786926 4143:0.8465051651000977 4083:0.8456370234489441 3773:0.8446432948112488 4032:0.8443742394447327 4215:0.8435383439064026 1234:0.8431625962257385 3873:0.8411880135536194 3884:0.8380823135375977 3817:0.8357217907905579 572:0.8327546119689941 3336:0.8326888084411621 3283:0.829708456993103 3851:0.8295240998268127
1,3353:0.9737284779548645 1009:0.9648435711860657 4224:0.9592838287353516 1073:0.9567834734916687 2379:0.9393245577812195 3676:0.9281586408615112 3705:0.9145002961158752 3837:0.9081608653068542 3641:0.9074616432189941 3675:0.9047244787216187 1078:0.8956888914108276 3819:0.8945274353027344 622:0.894420862197876 287:0.8931788802146912 4153:0.8920509219169617 3841:0.8889719247817993 570:0.8832560181617737 988:0.8819435238838196 3333:0.8817257285118103 3528:0.8809054493904114 3816:0.8803412914276123 1237:0.8750486373901367 960:0.8690612316131592 929:0.8671232461929321 4081:0.8646680116653442 3322:0.8549492359161377 3836:0.8435639142990112 3866:0.842369556427002 3453:0.840735912322998 1226:0.8311828374862671 1110:0.8195685744285583 3556:0.8154484033584595 3673:0.8097681403160095 3805:0.797222375869751 3289:0.7959460616111755 4239:0.7904542088508606 3840:0.7867966294288635 534:0.7850444912910461 3860:0.7826535701751709 959:0.7775773406028748 4136:0.7561088800430298 4033:0.7465490698814392 4177:0.7430312633514404 813:0.7269635796546936 3701:0.7264846563339233 4093:0.7224225997924805 124:0.7092584371566772 3879:0.7087646126747131 4037:0.6962812542915344 3382:0.6913482546806335 3633:0.6898037195205688 4148:0.6878528594970703 3820:0.6823827028274536 283:0.6758288741111755 3552:0.6704657077789307 2375:0.6673148274421692 4144:0.6560139656066895 4086:0.6558308005332947 4178:0.6547071933746338 494:0.654617190361023 209:0.6518245339393616 3554:0.6515451669692993 3280:0.6501529812812805 1184:0.6484721899032593 3638:0.6461930871009827 1218:0.6431995034217834 1213:0.6423037052154541 3367:0.6249037981033325 3779:0.6176746487617493 3520:0.6129037141799927 2737:0.6104466915130615 4047:0.6066734194755554 4052:0.6033278703689575 738:0.6003031134605408 3514:0.5942825078964233 3338:0.5916772484779358 3492:0.5891599059104919 1314:0.5856224298477173 985:0.5813828706741333 1155:0.5807511210441589 1216:0.5805015563964844 417:0.5795899629592896 3546:0.5779688954353333 3781:0.5740574598312378 1142:0.5685526728630066 3695:0.567243218421936 3547:0.5658120512962341 3626:0.5657294392585754 2764:0.5630425810813904 939:0.5627444982528687 365:0.5613007545471191 280:0.5604102611541748 1099:0.5591890215873718 134:0.5583641529083252 915:0.556101381778717 989:0.555914044380188 523:0.5542576313018799 3502:0.5509938597679138 881:0.5490221977233887 3418:0.5428249835968018
2,385:0.23499110341072083 2893:0.23131367564201355 3902:0.22198054194450378 2296:0.22012390196323395 471:0.2192637175321579 2410:0.21780118346214294 2395:0.21693861484527588 2849:0.21430529654026031 2334:0.21082675457000732 2446:0.2095620036125183 2836:0.20663651823997498 2569:0.20650680363178253 2496:0.20417389273643494 2388:0.20394429564476013 305:0.2032385766506195 397:0.2029474675655365 3080:0.2021521031856537 2663:0.2020992934703827 339:0.2009493112564087 2455:0.2007935494184494 2850:0.20067286491394043 343:0.20043998956680298 2568:0.20017196238040924 2842:0.20011913776397705 2843:0.19816680252552032 2659:0.1981375515460968 2297:0.19765375554561615 2524:0.19728127121925354 3811:0.19664764404296875 2355:0.19663019478321075 2792:0.19640155136585236 524:0.19631928205490112 2736:0.1963135153055191 3025:0.1961095631122589 2664:0.19592323899269104 2454:0.19543296098709106 2466:0.1952984780073166 3090:0.19527806341648102 3229:0.19499200582504272 3989:0.19497962296009064 2295:0.19488860666751862 2391:0.19472379982471466 183:0.19436341524124146 386:0.19434954226016998 3903:0.19365493953227997 2300:0.1934613287448883 309:0.19333516061306 2376:0.19286681711673737 2392:0.1928081065416336 2645:0.19237001240253448 2845:0.19220507144927979 2272:0.192182719707489 2389:0.192058265209198 3089:0.19165349006652832 3018:0.19142740964889526 2354:0.19139905273914337 2229:0.19129678606987 2508:0.19128985702991486 2231:0.19127172231674194 3109:0.19101589918136597 3969:0.1907438337802887 2301:0.19070951640605927 2230:0.19048039615154266 4017:0.19035252928733826 2285:0.19024276733398438 3228:0.19022858142852783 3973:0.19021829962730408 2813:0.19021134078502655 2346:0.1901431679725647 2653:0.1900220662355423 2507:0.1898089051246643 2846:0.18959668278694153 2707:0.18919621407985687 2844:0.1891874521970749 2848:0.1890837848186493 2393:0.18892592191696167 2651:0.18885713815689087 2724:0.18868431448936462 2706:0.1886688619852066 3946:0.18841005861759186 2823:0.18838609755039215 3974:0.18832369148731232 3171:0.18819007277488708 3988:0.18817032873630524 2967:0.18814466893672943 3121:0.18813365697860718 2802:0.18805035948753357 2719:0.18800301849842072 2723:0.18795238435268402 2709:0.18792977929115295 2232:0.18760064244270325 2378:0.18757200241088867 3252:0.18747754395008087 2804:0.18745799362659454 2847:0.18723396956920624 2658:0.18721091747283936 3970:0.18720676004886627 2673:0.18699456751346588 403:0.18698687851428986 3122:0.18697647750377655
3,3971:0.24509268999099731 2388:0.2200462371110916 2296:0.21972288191318512 2705:0.21956157684326172 2850:0.21913795173168182 3969:0.21851329505443573 2396:0.21624194085597992 385:0.2157822698354721 2525:0.21547383069992065 2849:0.2144630253314972 2295:0.21257351338863373 3229:0.21250030398368835 2836:0.2120598554611206 2663:0.21093899011611938 2446:0.2105681598186493 2454:0.21013303101062775 2736:0.20969092845916748 397:0.20960234105587006 2893:0.2095862776041031 3080:0.20931476354599 2496:0.2091699093580246 309:0.20869475603103638 2334:0.20858603715896606 2842:0.2085106521844864 2285:0.20805861055850983 2355:0.20792190730571747 2569:0.20742492377758026 3090:0.20708973705768585 2455:0.20663411915302277 3974:0.206624835729599 2967:0.20592354238033295 2389:0.20566865801811218 3121:0.20559783279895782 2354:0.20544610917568207 2707:0.20494304597377777 2231:0.2045368254184723 3089:0.20446354150772095 2394:0.20399819314479828 3973:0.20396524667739868 2391:0.20379331707954407 3902:0.2034255862236023 2672:0.20338237285614014 2395:0.203165203332901 3976:0.2031407505273819 386:0.20283153653144836 3909:0.20254012942314148 2843:0.20221880078315735 2659:0.20205041766166687 2673:0.2020420879125595 2294:0.20179663598537445 2352:0.20167578756809235 3025:0.201675146818161 471:0.20161990821361542 2840:0.20135840773582458 2507:0.20083539187908173 2665:0.200814351439476 3975:0.20071519911289215 343:0.20068782567977905 2393:0.20052117109298706 2719:0.19981098175048828 2297:0.19926629960536957 2792:0.19902366399765015 2666:0.19896449148654938 2377:0.1987367421388626 2387:0.19863586127758026 3903:0.19814640283584595 2664:0.1981378197669983 3972:0.19776451587677002 3122:0.19773516058921814 2845:0.19761794805526733 2844:0.19753891229629517 3228:0.19743502140045166 2392:0.19721610844135284 2232:0.19685597717761993 2300:0.19674091041088104 2346:0.19673694670200348 3170:0.19659118354320526 2411:0.19645756483078003 2823:0.1962287724018097 3970:0.195944145321846 2397:0.1959036886692047 2229:0.1957029402256012 2802:0.19564221799373627 3018:0.19559474289417267 2410:0.19551637768745422 2230:0.1953917145729065 2274:0.19520726799964905 2570:0.19439345598220825 2291:0.19435197114944458 2848:0.194290891289711 2846:0.1942543089389801 2723:0.1942245215177536 2347:0.19394783675670624 2353:0.19370193779468536 3109:0.1935518980026245 2505:0.1932464838027954 2653:0.19315223395824432 2709:0.1928984522819519 2671:0.19288663566112518 2356:0.19279539585113525
4,2905:0.3076830506324768 2292:0.30125972628593445 3899:0.29157811403274536 560:0.28691917657852173 2894:0.28672245144844055 2445:0.274103581905365 3810:0.26615241169929504 533:0.2643830478191376 2888:0.25937265157699585 2329:0.2591601014137268 321:0.2580671012401581 2409:0.2561177909374237 2384:0.25217127799987793 2813:0.24900409579277039 4018:0.24795204401016235 2895:0.24781480431556702 2382:0.24627631902694702 2408:0.2436363399028778 4020:0.24251790344715118 487:0.24122834205627441 3204:0.24061569571495056 3082:0.23989395797252655 2509:0.23832733929157257 3230:0.23826222121715546 2468:0.23764917254447937 2903:0.23723100125789642 2910:0.23700088262557983 2884:0.23607464134693146 2467:0.23605038225650787 2526:0.23484589159488678 2333:0.23425111174583435 3898:0.23367968201637268 2486:0.23342038691043854 3807:0.23291108012199402 2852:0.23251557350158691 281:0.2323419153690338 3808:0.23210321366786957 2398:0.23135073482990265 2495:0.23084601759910583 2400:0.230380117893219 2667:0.23034222424030304 2907:0.23000648617744446 2717:0.22977478802204132 351:0.22940616309642792 2966:0.22918948531150818 190:0.22910620272159576 3086:0.22909127175807953 173:0.22900785505771637 4019:0.22842486202716827 2837:0.22806818783283234 2331:0.22777235507965088 2431:0.22749938070774078 322:0.2264321744441986 2821:0.22609193623065948 2401:0.22578337788581848 2934:0.2254590392112732 3806:0.22505253553390503 2634:0.2246350198984146 2328:0.2236347794532776 2286:0.22317537665367126 2810:0.2226896435022354 3249:0.2226361632347107 2936:0.22235657274723053 3809:0.2223004549741745 2575:0.22225138545036316 2330:0.2220907360315323 2234:0.2220337688922882 3192:0.22196830809116364 2332:0.22182956337928772 433:0.2215328961610794 2718:0.22124317288398743 3083:0.2211860716342926 381:0.22113244235515594 2407:0.2205687314271927 2812:0.22033537924289703 2853:0.22013737261295319 3087:0.22001990675926208 2988:0.21984373033046722 3203:0.21909666061401367 2935:0.21863046288490295 2885:0.2185729593038559 2284:0.21855342388153076 3123:0.218527153134346 3124:0.21809664368629456 2937:0.2177969515323639 146:0.21771974861621857 2886:0.21770040690898895 2402:0.21762830018997192 2327:0.2175779789686203 3989:0.2172921746969223 2904:0.2171124368906021 2635:0.21705064177513123 265:0.21699924767017365 2417:0.21674755215644836 2959:0.21658670902252197 2990:0.21637116372585297 2909:0.21607044339179993 2508:0.2160249650478363 4021:0.2160036414861679 3172:0.21543629467487335
5,836:0.9999257326126099 1197:0.9995488524436951 765:0.9995044469833374 696:0.9995040893554688 1905:0.9991729259490967 606:0.999164342880249 927:0.9991304874420166 2062:0.9990789294242859 823:0.9990002512931824 1164:0.9989813566207886 784:0.9988818168640137 721:0.9986889362335205 1500:0.9986729025840759 1632:0.9986363649368286 1196:0.9985748529434204 2116:0.9985331296920776 792:0.9985212683677673 852:0.9984326958656311 1348:0.9983652234077454 1168:0.9983481764793396 2095:0.9980278611183167 643:0.9979326128959656 1839:0.9978525638580322 759:0.9978237748146057 1557:0.9978181719779968 924:0.997797429561615 1097:0.9977192878723145 3688:0.997545063495636 724:0.9974564909934998 840:0.9972943067550659 1459:0.997072160243988 911:0.9969680309295654 1493:0.9969228506088257 844:0.9969030022621155 838:0.9968060851097107 1532:0.9966914057731628 1896:0.9965344071388245 1854:0.9964814782142639 1887:0.995790958404541 1364:0.9956514835357666 1509:0.9954672455787659 744:0.9949794411659241 788:0.994900107383728 754:0.9948772192001343 729:0.994770348072052 1396:0.99476158618927 735:0.9947286248207092 1538:0.9947057962417603 1825:0.9946320652961731 1886:0.9945976138114929 2076:0.994504988193512 748:0.9944309592247009 2118:0.9939377307891846 1745:0.9936599731445312 839:0.9932024478912354 1827:0.9930099248886108 1496:0.9929661154747009 649:0.9928580522537231 628:0.9927799105644226 868:0.9927629828453064 1546:0.992501974105835 605:0.9924993515014648 1652:0.9924749135971069 767:0.9924571514129639 1835:0.9924210906028748 1349:0.9924158453941345 1891:0.9922962188720703 211:0.9922235608100891 1398:0.9921696186065674 1491:0.9921403527259827 851:0.9921226501464844 773:0.9921049475669861 1762:0.9919567108154297 2083:0.9919138550758362 1641:0.9917329549789429 789:0.9913498163223267 1723:0.9913111925125122 1502:0.991196870803833 736:0.9911751747131348 619:0.9910980463027954 665:0.9910572171211243 1397:0.9909812808036804 1993:0.9909218549728394 1220:0.9905713796615601 1489:0.9905679821968079 1132:0.990562379360199 1872:0.9905434250831604 2098:0.9904097318649292 741:0.990077793598175 1433:0.9896809458732605 2097:0.98954176902771 1510:0.9894691109657288 1683:0.9893811941146851 816:0.9888946413993835 1160:0.9888259172439575 815:0.9887587428092957 1024:0.9885184168815613 626:0.9885045289993286 1475:0.9884932041168213 1956:0.9884248971939087
6,2705:0.3158126473426819 3971:0.261847585439682 2525:0.24100494384765625 2396:0.22715559601783752 3969:0.22487765550613403 2850:0.22331078350543976 2388:0.22310790419578552 2296:0.2170165479183197 2295:0.21630942821502686 3229:0.2161601334810257 2454:0.21285200119018555 3976:0.21265067160129547 309:0.21262699365615845 2736:0.21225734055042267 2285:0.21221764385700226 2663:0.21219617128372192 2849:0.21210289001464844 2836:0.21187159419059753 3974:0.2109585702419281 2967:0.21035346388816833 2355:0.21012845635414124 2446:0.2100236564874649 3121:0.2097761631011963 2496:0.20967592298984528 397:0.20964857935905457 3080:0.20948170125484467 2842:0.20921070873737335 3090:0.20920780301094055 2389:0.2089422047138214 2354:0.20864398777484894 2707:0.20861244201660156 2394:0.2084996998310089 385:0.20817159116268158 2455:0.20774441957473755 2672:0.20772303640842438 2352:0.20745795965194702 3089:0.20741583406925201 2231:0.20727433264255524 3909:0.2071027010679245 3973:0.20697303116321564 2294:0.20659472048282623 2334:0.20614005625247955 2569:0.20590507984161377 2673:0.2056543081998825 2665:0.2055794894695282 3975:0.20550453662872314 2391:0.2052278071641922 2840:0.20477545261383057 2893:0.20459765195846558 386:0.2041582614183426 2393:0.20308391749858856 2507:0.2029651254415512 2387:0.20292942225933075 2377:0.20288825035095215 2719:0.20242980122566223 2666:0.2024286389350891 3025:0.20216913521289825 2843:0.20203012228012085 2659:0.20178942382335663 3972:0.2017572820186615 2411:0.20170170068740845 3170:0.2013869285583496 3122:0.20016030967235565 343:0.1996561586856842 2397:0.1995493322610855 2844:0.1990598738193512 2232:0.1988109052181244 2792:0.198677197098732 3228:0.19860157370567322 2395:0.1985963135957718 2823:0.19856390357017517 2274:0.19849717617034912 2297:0.19838131964206696 3903:0.19829295575618744 2845:0.19816099107265472 2664:0.19791139662265778 3970:0.197857066988945 2346:0.19776059687137604 2293:0.19764302670955658 3902:0.1973806917667389 2392:0.19732774794101715 2708:0.19730892777442932 2353:0.19719666242599487 2802:0.197093203663826 2300:0.19675150513648987 2671:0.19665952026844025 2291:0.1963074803352356 2570:0.19610559940338135 471:0.19597280025482178 2229:0.19589771330356598 2230:0.19586117565631866 3018:0.1957169622182846 2302:0.1956494152545929 2347:0.19552507996559143 2233:0.19549775123596191 2723:0.19547221064567566 2505:0.19542372226715088 3118:0.19537852704524994 2383:0.19536085426807404 455:0.19489379227161407
7,2705:0.3682086169719696 2525:0.24458301067352295 2396:0.21525228023529053 3971:0.21456117928028107 3976:0.21443594992160797 533:0.20965446531772614 2382:0.20829029381275177 3969:0.20636992156505585 2352:0.20540806651115417 2411:0.20499317348003387 2840:0.20442624390125275 2526:0.2038843184709549 3972:0.2036912441253662 2708:0.20359070599079132 2850:0.20343716442584991 3909:0.20335689187049866 2294:0.20329833030700684 2233:0.20327943563461304 3170:0.20319317281246185 2667:0.20309941470623016 2293:0.2030055969953537 2665:0.20295225083827972 2507:0.20286180078983307 2383:0.20271238684654236 3974:0.20269161462783813 2384:0.20241492986679077 3975:0.2023955136537552 2672:0.20235028862953186 309:0.2022695392370224 2394:0.2018442153930664 3121:0.20183686912059784 2967:0.2017384171485901 2907:0.20167379081249237 2285:0.20135243237018585 2377:0.20090065896511078 2445:0.20085901021957397 3230:0.2007981538772583 2387:0.20065103471279144 2388:0.20046596229076385 2295:0.20035739243030548 2673:0.20029790699481964 3229:0.20020410418510437 2671:0.20019927620887756 2331:0.20007222890853882 2707:0.19991959631443024 4020:0.19941796362400055 2400:0.19913963973522186 2397:0.19912949204444885 2666:0.1989574134349823 2893:0.198955237865448 2389:0.1989489197731018 2399:0.1988847553730011 3118:0.19886520504951477 2719:0.19884996116161346 2292:0.1987699568271637 2381:0.19874553382396698 2564:0.19874010980129242 2454:0.19871585071086884 3080:0.1984367072582245 2231:0.19808168709278107 2354:0.1980780065059662 3973:0.19798047840595245 3970:0.1977560967206955 2903:0.197638601064682 2467:0.1975584626197815 3089:0.1973571628332138 2637:0.19720225036144257 2353:0.19719411432743073 2736:0.19711215794086456 183:0.19709375500679016 3901:0.1970759630203247 2886:0.19688628613948822 2852:0.1967313587665558 2274:0.19661585986614227 343:0.19660650193691254 2455:0.19651295244693756 2823:0.19633416831493378 2355:0.19625423848628998 2291:0.19606439769268036 2508:0.19593435525894165 288:0.19592657685279846 2723:0.19592225551605225 455:0.19583344459533691 2398:0.1958315074443817 3087:0.1956920176744461 560:0.19563722610473633 2302:0.1956026554107666 2966:0.19555431604385376 322:0.19553734362125397 2960:0.19550378620624542 3090:0.19546416401863098 2709:0.19540269672870636 2412:0.19531933963298798 2386:0.195319265127182 2904:0.1951969861984253 2663:0.19509871304035187 2638:0.19508567452430725 2393:0.1950598806142807 2232:0.19504806399345398 2888:0.19493678212165833
