cluster_index,100track
0,455:0.4264581501483917 4373:0.21369360387325287 3974:0.1929997354745865 4393:0.14940251410007477 5853:0.14406278729438782 931:0.14116837084293365 5701:0.14031431078910828 4348:0.13735604286193848 4497:0.1326381415128708 3988:0.13044147193431854 6030:0.1300496608018875 6122:0.12903276085853577 5568:0.12826907634735107 4292:0.12740014493465424 5391:0.1254439502954483 1105:0.12428905814886093 5894:0.12404148280620575 1876:0.12319157272577286 5559:0.12170984596014023 5422:0.12050733715295792 4473:0.12028434127569199 6517:0.11948960274457932 4502:0.11879630386829376 6115:0.11825522780418396 4331:0.11812444776296616 5744:0.1168937087059021 5793:0.11683390289545059 1806:0.11630568653345108 5935:0.11460680514574051 5926:0.1132185086607933 4558:0.11256363987922668 297:0.11249350756406784 5567:0.1122681200504303 5267:0.11173806339502335 5584:0.11112353950738907 152:0.10971804708242416 3019:0.10969352722167969 760:0.10953615605831146 3967:0.10908141732215881 4272:0.10903004556894302 770:0.10812867432832718 6213:0.1079217717051506 4769:0.10744714736938477 1086:0.10720822960138321 3913:0.10709363967180252 4090:0.10696353763341904 6208:0.10588779300451279 5895:0.10550428926944733 6124:0.10543031245470047 4119:0.10537080466747284 6150:0.10445991158485413 5768:0.10426671802997589 4860:0.10387412458658218 3865:0.10377109050750732 6029:0.10311272740364075 3964:0.10252293944358826 5757:0.10239303857088089 6049:0.1018785834312439 2123:0.10177012532949448 5347:0.1014566645026207 2063:0.1000593975186348 543:0.10001201182603836 512:0.09981610625982285 2772:0.09977319836616516 5522:0.09972327202558517 5980:0.09959037601947784 6410:0.09942404925823212 5760:0.09900566190481186 439:0.09883233159780502 5331:0.09879279136657715 2895:0.09856957942247391 6058:0.09851095825433731 4907:0.09847334027290344 467:0.09814195334911346 6413:0.09810052812099457 3037:0.09750911593437195 5736:0.09744248539209366 1854:0.09744197130203247 2093:0.09690383076667786 4176:0.09686089307069778 5224:0.09685323387384415 4596:0.09671946614980698 301:0.09670610725879669 5297:0.09650760143995285 5200:0.09644430130720139 6060:0.09633120149374008 5844:0.09593305736780167 2102:0.09581261873245239 483:0.09572110325098038 4120:0.09564074128866196 5193:0.09558668732643127 6276:0.09547106176614761 4150:0.09546647220849991 5742:0.09545622766017914 552:0.09536109119653702 310:0.0952247828245163 6198:0.09506594389677048 4095:0.0950399786233902 6107:0.09503839910030365 4091:0.09489285200834274
1,5569:0.8217082023620605 5368:0.6762638092041016 6162:0.600655734539032 6222:0.5739882588386536 6230:0.5664070844650269 5341:0.4941609799861908 5382:0.48926469683647156 4106:0.4818193316459656 4116:0.4431741237640381 1816:0.44074589014053345 5349:0.43685150146484375 5924:0.4355427920818329 4328:0.4281521737575531 923:0.4225131869316101 732:0.4211653172969818 6463:0.41990622878074646 6369:0.4072742462158203 5379:0.4054519236087799 4377:0.4042125940322876 5310:0.40080276131629944 4307:0.39877650141716003 2050:0.39514434337615967 6006:0.394304484128952 5192:0.3836650848388672 2020:0.3771141767501831 5451:0.3763391673564911 5698:0.3733270466327667 5888:0.3728283643722534 837:0.37145620584487915 2184:0.36980780959129333 1756:0.3656507432460785 6267:0.3641374111175537 808:0.36056676506996155 6166:0.36045366525650024 804:0.359896183013916 5697:0.35931673645973206 5258:0.35789796710014343 5735:0.3535746932029724 2083:0.35098570585250854 5498:0.349393367767334 6462:0.34817296266555786 1980:0.3472352623939514 5386:0.343374639749527 5340:0.3432043790817261 5696:0.3414868712425232 2429:0.3413030207157135 5281:0.3409172296524048 3958:0.3394782543182373 5261:0.3383856415748596 5566:0.3377438187599182 5870:0.33453860878944397 6221:0.3321828246116638 6111:0.3302135169506073 5654:0.33015695214271545 1825:0.33004555106163025 1977:0.3293874263763428 5385:0.329067587852478 1849:0.32810741662979126 1947:0.3257312476634979 1979:0.3252074420452118 849:0.3238964378833771 240:0.3225761651992798 4339:0.32133203744888306 6112:0.32126250863075256 2054:0.3209173381328583 5255:0.32059383392333984 2092:0.3186868131160736 5517:0.31737786531448364 5869:0.3168374300003052 3949:0.3162207007408142 1236:0.3133131265640259 5459:0.31325817108154297 4420:0.31280815601348877 1550:0.31260305643081665 4329:0.31020134687423706 1858:0.30993127822875977 5946:0.3094926178455353 6372:0.3066153824329376 4087:0.3057577908039093 5747:0.3032783567905426 1845:0.3028218150138855 5856:0.3028084635734558 5592:0.30263644456863403 780:0.3026304543018341 6248:0.30245718359947205 4200:0.3017667233943939 4163:0.29971104860305786 3810:0.2996850311756134 5323:0.2989552915096283 5598:0.2963389456272125 5515:0.295425146818161 4434:0.2942791283130646 5575:0.2939520478248596 6367:0.2936800420284271 5593:0.29323065280914307 4438:0.291469544172287 5803:0.2912102937698364 3996:0.2909703850746155 2198:0.2906608581542969 5275:0.2901850640773773
2,4082:0.21691136062145233 6371:0.1921779215335846 6185:0.18295785784721375 3977:0.1795332431793213 4331:0.1781674176454544 5779:0.17096181213855743 5277:0.1661933809518814 5686:0.16595293581485748 3974:0.1639007180929184 5895:0.16105858981609344 6115:0.1604965180158615 5701:0.1586543172597885 4105:0.15704010426998138 5927:0.1550455540418625 4176:0.14796359837055206 3960:0.14685901999473572 5416:0.14678186178207397 4412:0.1436958760023117 809:0.1411322057247162 4119:0.14071516692638397 2123:0.13879819214344025 1105:0.13610155880451202 6029:0.13598403334617615 903:0.1348506212234497 770:0.13285478949546814 3967:0.1326088160276413 4398:0.12949618697166443 1949:0.1282527595758438 5370:0.12816810607910156 3969:0.1281270682811737 4386:0.12772530317306519 5896:0.12661918997764587 5200:0.1263221949338913 5584:0.12623295187950134 6415:0.12570655345916748 5422:0.12495730072259903 5945:0.12482266128063202 1876:0.12455270439386368 5744:0.12387576699256897 6208:0.12296707183122635 5733:0.12202509492635727 5736:0.12177388370037079 5742:0.12163415551185608 5847:0.12111763656139374 5309:0.120257169008255 4305:0.12010166049003601 6229:0.1200958713889122 5244:0.11983872950077057 4379:0.11918895691633224 5709:0.1189875677227974 4317:0.1189797967672348 4411:0.11865305155515671 5371:0.11855572462081909 4310:0.1178099736571312 1806:0.1172315776348114 5793:0.11703559756278992 6413:0.11674514412879944 4104:0.11619724333286285 1854:0.1161336675286293 5859:0.11607660353183746 6399:0.1157829686999321 3839:0.11575600504875183 4421:0.11564429849386215 5573:0.11560463160276413 5412:0.11558830738067627 5344:0.11532334238290787 5297:0.1149376928806305 5854:0.11449334770441055 5894:0.1143047884106636 6051:0.1142868921160698 6007:0.11428426951169968 4280:0.11422042548656464 4192:0.11385390162467957 5730:0.11369822174310684 5380:0.11323624104261398 5852:0.11267411708831787 5329:0.1124272271990776 4107:0.11205586791038513 4425:0.11170006543397903 1815:0.11168944835662842 6122:0.11147520691156387 5249:0.11132054775953293 4473:0.11119947582483292 820:0.1109665185213089 4373:0.11094702780246735 5303:0.11071984469890594 4292:0.1106816902756691 6132:0.11039827018976212 5391:0.1103002056479454 5935:0.11008679121732712 6400:0.1099628135561943 4424:0.10970243066549301 5760:0.10962332040071487 1976:0.10942108184099197 6137:0.10932053625583649 3973:0.10921706259250641 3019:0.10916858166456223 5751:0.10873081535100937 5702:0.10857729613780975 5463:0.10814037919044495
3,4431:0.3069673478603363 5554:0.28888773918151855 4081:0.25116458535194397 5458:0.23621496558189392 3957:0.22907951474189758 4433:0.21669353544712067 3826:0.21661601960659027 4496:0.21366608142852783 5428:0.21357329189777374 1843:0.21126826107501984 5339:0.21047575771808624 1813:0.20799116790294647 6128:0.20707477629184723 5700:0.20628514885902405 5775:0.20522090792655945 4294:0.20478610694408417 4374:0.20314927399158478 5254:0.20228756964206696 5276:0.1994624137878418 5928:0.19537706673145294 5780:0.19400645792484283 5453:0.19320353865623474 4432:0.19294072687625885 5407:0.1920287311077118 4088:0.19036734104156494 6247:0.18899410963058472 3868:0.18819905817508698 5789:0.18744570016860962 4248:0.1870899349451065 6025:0.18561233580112457 4419:0.1849931925535202 2125:0.1840674877166748 5737:0.18271036446094513 5794:0.18253163993358612 5651:0.180869922041893 3946:0.18065786361694336 4337:0.17810694873332977 4430:0.17739833891391754 5795:0.17596764862537384 6468:0.17569458484649658 6370:0.17545239627361298 1842:0.1753629744052887 4117:0.17534054815769196 5307:0.17468051612377167 5797:0.17459258437156677 1855:0.17414060235023499 6299:0.1741400808095932 2127:0.17365796864032745 4314:0.17348121106624603 5452:0.17306074500083923 5460:0.17200206220149994 5425:0.17195865511894226 5259:0.17138728499412537 4338:0.17114973068237305 5776:0.17035289108753204 4437:0.1696110963821411 6300:0.16822712123394012 3936:0.16820114850997925 4083:0.16789670288562775 4381:0.16768239438533783 5933:0.16723142564296722 5190:0.16654063761234283 5367:0.1665162295103073 3945:0.1660585105419159 6052:0.16504350304603577 4304:0.16467806696891785 5684:0.16407865285873413 5376:0.1627885103225708 5580:0.1624726504087448 6461:0.16227774322032928 5280:0.1619306057691574 4341:0.1618986427783966 5581:0.16147159039974213 5746:0.16126622259616852 5765:0.1611417680978775 3092:0.16088329255580902 6295:0.16055898368358612 4335:0.16049541532993317 5237:0.1603340357542038 4436:0.16028223931789398 5381:0.16021254658699036 5710:0.15991592407226562 3994:0.1597488820552826 5518:0.15889877080917358 5937:0.15865623950958252 5252:0.15853577852249146 5423:0.15848682820796967 5682:0.15840640664100647 4426:0.1580808460712433 6231:0.15799733996391296 5404:0.15764591097831726 5420:0.1574145406484604 5866:0.15735740959644318 1850:0.15715135633945465 5424:0.15690977871418 4345:0.1564803421497345 5222:0.15626363456249237 4355:0.15618951618671417 5413:0.15595807135105133 4311:0.15585298836231232
4,5799:0.23953576385974884 4592:0.20422577857971191 1168:0.18671868741512299 4591:0.17982174456119537 467:0.1745462566614151 3096:0.17361930012702942 2301:0.1732850819826126 4073:0.16925770044326782 1017:0.163893461227417 4577:0.16388843953609467 1299:0.16190488636493683 998:0.16153192520141602 539:0.16074536740779877 931:0.15958936512470245 5567:0.15937601029872894 5853:0.15932293236255646 4595:0.15396277606487274 1001:0.15293578803539276 1008:0.15106651186943054 490:0.15075118839740753 4708:0.15070684254169464 4147:0.15001730620861053 3099:0.14976100623607635 4148:0.14949572086334229 1458:0.14929114282131195 4923:0.1483212262392044 2061:0.14757844805717468 4992:0.14678457379341125 4994:0.14615245163440704 4369:0.14582662284374237 3964:0.14561434090137482 2584:0.14543934166431427 1154:0.1454109400510788 5005:0.14535672962665558 1341:0.14506609737873077 5006:0.14503136277198792 4724:0.14494900405406952 4693:0.14475597441196442 3100:0.143948495388031 477:0.14373929798603058 4941:0.1434585452079773 5559:0.14338771998882294 4991:0.14308257400989532 4710:0.14273878931999207 4709:0.14255844056606293 1165:0.14222440123558044 3103:0.14212441444396973 4165:0.14136293530464172 512:0.1412540078163147 4132:0.14068102836608887 6252:0.14062458276748657 4593:0.14057548344135284 4758:0.14052407443523407 2162:0.14042101800441742 4056:0.14039826393127441 6352:0.1402358114719391 4556:0.1401941329240799 2559:0.1401885449886322 6077:0.14011137187480927 4663:0.13991539180278778 4275:0.13961294293403625 1403:0.13910338282585144 4725:0.13896487653255463 4131:0.1386890560388565 4502:0.1384878009557724 1453:0.13836930692195892 4272:0.1382395625114441 4988:0.13816626369953156 3637:0.13802692294120789 4906:0.13783511519432068 4130:0.1378210186958313 4638:0.1375993937253952 3097:0.1375991702079773 2096:0.13704507052898407 6075:0.1370028257369995 4952:0.13696305453777313 2799:0.13678228855133057 5979:0.13673266768455505 6070:0.13666169345378876 3619:0.13655520975589752 4618:0.13629400730133057 4907:0.13592402637004852 5153:0.13581061363220215 4487:0.13539470732212067 4070:0.1349937915802002 5091:0.13493143022060394 4071:0.13482162356376648 6209:0.1346934735774994 2526:0.13453978300094604 2062:0.1345151662826538 5048:0.13441582024097443 5568:0.13423967361450195 2269:0.13422684371471405 4092:0.13408352434635162 1454:0.1340496987104416 553:0.13400466740131378 1080:0.13400299847126007 658:0.13381053507328033 6211:0.13380399346351624 4124:0.13376253843307495
5,5799:0.24307852983474731 4592:0.21712341904640198 1168:0.1990150660276413 4591:0.18669992685317993 2301:0.18211229145526886 3096:0.17984436452388763 4073:0.17606395483016968 467:0.17582763731479645 1017:0.17138807475566864 4577:0.17008045315742493 1299:0.16946648061275482 998:0.16875797510147095 539:0.16763801872730255 4595:0.160763680934906 1001:0.15933531522750854 4708:0.15712253749370575 5567:0.1568973809480667 490:0.15657839179039001 1008:0.15589256584644318 1458:0.15549075603485107 4148:0.1549217849969864 4147:0.1548624187707901 4923:0.15342576801776886 3099:0.1532955765724182 4992:0.15260514616966248 2061:0.15185128152370453 4994:0.15176327526569366 4369:0.15147964656352997 1154:0.15083342790603638 2584:0.15067744255065918 931:0.15061147511005402 1341:0.15021198987960815 4693:0.1502109169960022 5005:0.15018439292907715 5006:0.14975379407405853 5853:0.1496964395046234 4724:0.1494283229112625 477:0.14862585067749023 4991:0.14812195301055908 4941:0.14806221425533295 4710:0.14802813529968262 4709:0.14777368307113647 3100:0.14755035936832428 1165:0.14737865328788757 3964:0.14609470963478088 3103:0.1458592414855957 4165:0.14584796130657196 4132:0.14560604095458984 4593:0.14539706707000732 4758:0.14517398178577423 6352:0.14512449502944946 6252:0.14502441883087158 4056:0.14500056207180023 6077:0.14498868584632874 2162:0.1448596715927124 2559:0.14437177777290344 4275:0.14430634677410126 4663:0.14396421611309052 1403:0.1436156928539276 4725:0.14356373250484467 4131:0.14315105974674225 1453:0.1431039571762085 4556:0.14251598715782166 4988:0.14244702458381653 512:0.14230269193649292 4130:0.14209571480751038 3637:0.1420835703611374 4906:0.14194196462631226 3097:0.14193667471408844 2096:0.14148296415805817 4638:0.14147797226905823 4952:0.1411537230014801 6075:0.14100126922130585 6070:0.14099463820457458 5979:0.14059560000896454 3619:0.14056633412837982 5153:0.1400395929813385 5559:0.13961511850357056 2799:0.13960090279579163 4618:0.13903458416461945 4487:0.13902312517166138 4071:0.13868296146392822 2526:0.13840755820274353 5091:0.13839182257652283 2269:0.13824467360973358 1454:0.13823042809963226 5048:0.13817478716373444 2062:0.13783878087997437 4124:0.13781830668449402 6209:0.1377783864736557 4070:0.13776613771915436 6211:0.13768413662910461 1080:0.1376328021287918 2082:0.1375991851091385 658:0.1375519037246704 4092:0.13753119111061096 3533:0.13747555017471313 4273:0.13727490603923798 4149:0.13723257184028625 4907:0.13708806037902832
6,5307:0.26718512177467346 6370:0.25339314341545105 5187:0.23115694522857666 5778:0.2126573920249939 4857:0.20262524485588074 5857:0.1960877925157547 4426:0.1846579909324646 4083:0.1817757934331894 5408:0.17980651557445526 4314:0.17420026659965515 4330:0.17356030642986298 1171:0.17226572334766388 5730:0.17043739557266235 4432:0.16752120852470398 5578:0.1671295017004013 1931:0.16674792766571045 5423:0.1658434122800827 4189:0.16467392444610596 5576:0.1631874293088913 5745:0.16306576132774353 6300:0.1573239266872406 6101:0.156172975897789 5737:0.1551295518875122 3924:0.1548875868320465 4317:0.15348443388938904 1832:0.1532222181558609 5958:0.15274283289909363 1949:0.15136373043060303 2089:0.15133053064346313 6142:0.15063472092151642 5743:0.1501285880804062 5293:0.15004082024097443 4192:0.1496669203042984 4430:0.14891298115253448 4419:0.14672613143920898 5254:0.14642466604709625 4356:0.14528144896030426 2125:0.144212543964386 4117:0.14396731555461884 5788:0.1435769945383072 5791:0.14356184005737305 5748:0.1435225009918213 5299:0.1428280621767044 5699:0.1417381912469864 4428:0.1410059928894043 6009:0.1408761739730835 6002:0.14070793986320496 5411:0.14046986401081085 401:0.14036929607391357 4293:0.14012978971004486 5222:0.14006105065345764 3971:0.13889683783054352 3946:0.1386767476797104 5756:0.13827913999557495 5866:0.13783225417137146 5392:0.13776257634162903 4429:0.13773874938488007 5684:0.1373419612646103 6438:0.13654321432113647 3937:0.1361316293478012 5344:0.13536712527275085 6027:0.13504749536514282 5249:0.1348244994878769 6186:0.13445423543453217 5572:0.13431532680988312 4397:0.13393259048461914 5733:0.13348281383514404 4402:0.13330793380737305 6406:0.13276657462120056 5859:0.1323222517967224 3839:0.13175195455551147 5928:0.13097405433654785 6401:0.13093173503875732 5201:0.1308773159980774 5351:0.13086161017417908 678:0.13067667186260223 5765:0.13051804900169373 5753:0.13014574348926544 5842:0.12966294586658478 5564:0.12942060828208923 4118:0.1292557567358017 1839:0.12915316224098206 5650:0.1291506588459015 809:0.12894079089164734 3955:0.1289147436618805 6131:0.12890851497650146 5934:0.12865324318408966 5780:0.12858019769191742 5369:0.12849415838718414 5721:0.12845729291439056 6206:0.12836962938308716 5873:0.1279609650373459 5703:0.12767763435840607 3868:0.12767294049263 6299:0.12735112011432648 3854:0.12704674899578094 4382:0.12694579362869263 5867:0.1267058402299881 6102:0.1264011263847351 5798:0.12638862431049347
7,5554:0.29115787148475647 5458:0.28211331367492676 5276:0.2689969837665558 4431:0.26349130272865295 3957:0.25650525093078613 6128:0.24545474350452423 1813:0.24101385474205017 4496:0.23692826926708221 5700:0.23287642002105713 4433:0.23246018588542938 4081:0.22704485058784485 1843:0.22699779272079468 5775:0.22631441056728363 5339:0.2230631411075592 5407:0.2176138311624527 4294:0.21518704295158386 3826:0.21339745819568634 5428:0.2130216658115387 5651:0.21286384761333466 1855:0.21039509773254395 4374:0.2086031287908554 5453:0.2059076577425003 5789:0.20382770895957947 6025:0.20122718811035156 1842:0.20084799826145172 5795:0.2004692256450653 4248:0.1995927095413208 6247:0.19908562302589417 4337:0.197598397731781 5797:0.19629600644111633 4088:0.1961631029844284 5780:0.19417332112789154 5928:0.19403676688671112 5425:0.19266314804553986 5460:0.19219158589839935 5254:0.19127000868320465 3868:0.18935208022594452 3936:0.18790049850940704 6468:0.18700824677944183 5794:0.1853422224521637 4338:0.18325115740299225 4304:0.18251018226146698 5381:0.18170009553432465 6461:0.18166662752628326 4434:0.18149925768375397 2127:0.1812276393175125 5420:0.1802036166191101 5452:0.17965877056121826 5190:0.17955125868320465 5580:0.17832328379154205 5259:0.17804837226867676 2125:0.17743955552577972 5710:0.17739880084991455 4419:0.17723040282726288 3946:0.17681992053985596 5776:0.17645348608493805 4381:0.17610564827919006 5367:0.17567525804042816 5682:0.17557686567306519 6299:0.17549844086170197 5933:0.17549259960651398 3945:0.175442636013031 4432:0.1753394603729248 3092:0.17509956657886505 4436:0.17490604519844055 5280:0.17483054101467133 4437:0.17447945475578308 6295:0.17304325103759766 5518:0.17291182279586792 5237:0.172700896859169 5424:0.17267192900180817 5737:0.1718929260969162 4345:0.17161504924297333 4335:0.1707465946674347 4311:0.17042194306850433 5746:0.1697290539741516 4117:0.16952265799045563 4430:0.169471874833107 6052:0.16945213079452515 4341:0.16836997866630554 5252:0.16774243116378784 5781:0.16734260320663452 5413:0.16703851521015167 5376:0.16667652130126953 5589:0.16650831699371338 5457:0.16558915376663208 5581:0.16542237997055054 5312:0.1650015413761139 3956:0.1644916832447052 5937:0.16433186829090118 1850:0.1641918420791626 4354:0.16417086124420166 2051:0.1638229787349701 5734:0.16364645957946777 6231:0.16311974823474884 5199:0.16244032979011536 1824:0.16179731488227844 4336:0.16174301505088806 4253:0.16134624183177948 6127:0.16132621467113495
8,903:0.24926850199699402 5857:0.2302657663822174 4082:0.22990192472934723 6371:0.22543607652187347 3977:0.2196788638830185 1949:0.1991007775068283 4105:0.19404876232147217 4857:0.18345600366592407 809:0.18076850473880768 5927:0.17968156933784485 5779:0.1767800748348236 5277:0.17416644096374512 5730:0.17149735987186432 6185:0.17014910280704498 5686:0.16971150040626526 4317:0.16268344223499298 4412:0.15946966409683228 3960:0.15905147790908813 5416:0.15394648909568787 4192:0.14881247282028198 5733:0.1480659693479538 5370:0.1411135196685791 5895:0.14105582237243652 4331:0.14048604667186737 5344:0.1398034542798996 5859:0.13861900568008423 4176:0.1384248584508896 4398:0.13796810805797577 3839:0.13787302374839783 5945:0.13705691695213318 5249:0.1341920793056488 6115:0.13375219702720642 6399:0.13294506072998047 4280:0.13196556270122528 5573:0.1311522275209427 5309:0.13097579777240753 5743:0.12959732115268707 4104:0.12947893142700195 401:0.1291867196559906 2123:0.12904766201972961 4119:0.12862993776798248 5244:0.12815847992897034 6101:0.12773358821868896 4305:0.12748946249485016 5847:0.12735126912593842 820:0.12662437558174133 6029:0.1261867731809616 5896:0.12610888481140137 5411:0.1258493959903717 6229:0.12571199238300323 6009:0.12564842402935028 4107:0.12531521916389465 5852:0.12491089850664139 6415:0.12485115975141525 1815:0.12454099208116531 5709:0.12434131652116776 3969:0.12426374107599258 4386:0.12420468032360077 4411:0.1240885779261589 4421:0.12392483651638031 6051:0.12385556101799011 3937:0.12368855625391006 6400:0.1233733743429184 6007:0.12333092093467712 5778:0.12262650579214096 4425:0.12253359705209732 5701:0.12251909077167511 2089:0.12226855009794235 5371:0.12185564637184143 6132:0.12165799736976624 5200:0.12146301567554474 4424:0.12137474119663239 770:0.12129774689674377 5412:0.12095414102077484 3967:0.1209176704287529 5702:0.1196732372045517 4379:0.11940448731184006 5791:0.11810775101184845 4310:0.1178157776594162 5742:0.1178152933716774 3939:0.1173192709684372 1105:0.11708911508321762 5736:0.11691491305828094 5387:0.11663608253002167 2027:0.11644633114337921 4330:0.11623179912567139 5403:0.115721195936203 5293:0.11545005440711975 1976:0.11531412601470947 5584:0.115045465528965 6137:0.11503194272518158 5380:0.11474142223596573 6406:0.11465581506490707 5699:0.11460128426551819 4195:0.11453938484191895 6208:0.11447355151176453 4108:0.11446238309144974 3853:0.11422832310199738 1171:0.11415193229913712 4189:0.11402438580989838
9,903:0.2630358338356018 5857:0.26018276810646057 6371:0.2212822288274765 4082:0.22111566364765167 3977:0.21793600916862488 1949:0.2075740545988083 4857:0.1972140371799469 4105:0.19512346386909485 809:0.18362651765346527 5927:0.17982570827007294 5730:0.17930932343006134 5779:0.17415080964565277 5277:0.17206992208957672 4317:0.16779199242591858 5686:0.1673317849636078 6185:0.16547852754592896 4412:0.15955963730812073 3960:0.15860576927661896 5416:0.1530403196811676 4192:0.15288537740707397 5733:0.15046748518943787 5344:0.14230428636074066 5370:0.1416780799627304 5859:0.14083416759967804 3839:0.14003200829029083 4398:0.13797174394130707 5945:0.137665793299675 5895:0.13724201917648315 5249:0.1366213858127594 4176:0.13597393035888672 4331:0.13482145965099335 6399:0.13447421789169312 4280:0.13361109793186188 5743:0.13323388993740082 5573:0.13247838616371155 401:0.1320633441209793 6101:0.13179264962673187 5309:0.13157233595848083 4104:0.13051210343837738 5778:0.12993866205215454 6115:0.12949679791927338 5411:0.12870529294013977 6009:0.12854458391666412 5244:0.12848034501075745 820:0.12811583280563354 4305:0.12769629061222076 5847:0.12740281224250793 2123:0.1269093006849289 4107:0.12647370994091034 3937:0.12622013688087463 4119:0.12621992826461792 5852:0.12592092156410217 2089:0.12590192258358002 6229:0.12572236359119415 1815:0.12564179301261902 5896:0.12525667250156403 6400:0.12460800260305405 6051:0.12449721246957779 4421:0.12436800450086594 5709:0.12435529381036758 6029:0.12413176894187927 4411:0.12411169707775116 6415:0.12399174273014069 6007:0.12389598786830902 4425:0.12339484691619873 3969:0.12302432209253311 4386:0.1230081170797348 6132:0.12260270863771439 4424:0.12239886075258255 5371:0.12164764851331711 4330:0.12117112427949905 5791:0.1211705207824707 5412:0.12105825543403625 5702:0.12065338343381882 5200:0.12016769498586655 770:0.11917142570018768 3939:0.11901562660932541 1171:0.11896345019340515 5293:0.11894101649522781 4379:0.11883525550365448 3967:0.11878161877393723 4189:0.11840425431728363 2027:0.11802592128515244 5701:0.1177283376455307 5576:0.11767656356096268 5699:0.11754708737134933 5387:0.11743930727243423 4310:0.11725727468729019 6406:0.11698778718709946 5403:0.11676780134439468 5742:0.11674556881189346 4195:0.11633927375078201 1832:0.11607775092124939 5201:0.11599578708410263 5934:0.11588110774755478 5650:0.11573852598667145 5736:0.11573731899261475 5564:0.1156400740146637 1976:0.11563391983509064 6137:0.11533011496067047
