cluster_index,100track
0,22759:0.015132630243897438 30032:0.015087563544511795 33237:0.015085910446941853 7999:0.015072806738317013 22920:0.015071325935423374 27408:0.015060413628816605 13089:0.015058915130794048 8127:0.015058056451380253 32858:0.01505749300122261 23291:0.015054473653435707 10549:0.01504704263061285 10992:0.015046793036162853 13062:0.015044412575662136 9009:0.01504440326243639 22188:0.015043987892568111 17257:0.015043945051729679 25272:0.015043340623378754 25525:0.015043191611766815 23201:0.01504252664744854 17577:0.015041815117001534 12585:0.015039821155369282 12556:0.015039791353046894 25652:0.015038427896797657 10355:0.015038288198411465 11439:0.01503782905638218 30280:0.015034719370305538 22400:0.01503262110054493 22259:0.015029938891530037 25313:0.015029899775981903 30613:0.015029667876660824 11897:0.015029204078018665 10804:0.015028154477477074 5465:0.015028079971671104 13944:0.015027770772576332 27657:0.01502474956214428 11520:0.015024082735180855 19828:0.015022724866867065 15618:0.015022389590740204 6926:0.015022298321127892 10586:0.015022169798612595 14712:0.015021922998130322 10446:0.015021692961454391 21360:0.01502165012061596 19907:0.015020716935396194 25615:0.01502065360546112 23275:0.015020321123301983 13986:0.015020282007753849 22526:0.01502002403140068 23748:0.015019934624433517 25927:0.015019869431853294 5461:0.015019837766885757 8511:0.015019195154309273 10491:0.015019101090729237 16314:0.015018838457763195 17565:0.015018198639154434 24121:0.015018132515251637 15924:0.015016667544841766 7002:0.015016211196780205 30549:0.01501603052020073 25856:0.015015552751719952 10420:0.015015454031527042 5763:0.015015140175819397 27392:0.015014970675110817 9997:0.015014681033790112 25197:0.015014633536338806 25362:0.01501454133540392 9971:0.0150144686922431 23487:0.015014410018920898 33552:0.015014315955340862 22887:0.015013943426311016 10698:0.015013541094958782 17672:0.015013433992862701 21404:0.01501311082392931 13510:0.015013044700026512 7123:0.01501290500164032 22186:0.01501244306564331 22693:0.015012437477707863 12774:0.015012400224804878 27840:0.015012361109256744 31589:0.015012102201581001 23631:0.015011935494840145 10544:0.015011808834969997 22560:0.015011020936071873 7160:0.015010867267847061 33732:0.0150107117369771 32520:0.015010405331850052 13091:0.015010295435786247 9834:0.015009832568466663 33706:0.01500970683991909 27941:0.015009529888629913 22332:0.015009332448244095 25026:0.015009237453341484 17294:0.015009230934083462 31768:0.01500917598605156 19869:0.015009078197181225 14103:0.01500897016376257 18072:0.015008797869086266 30774:0.015008777379989624 27181:0.015008620917797089 13418:0.015008551999926567
1,22759:0.015532813034951687 17577:0.01538384985178709 7999:0.015348615124821663 13089:0.015269210562109947 25362:0.0152659360319376 13418:0.015260457061231136 6926:0.015257066115736961 29940:0.015256882645189762 25525:0.015249292366206646 17257:0.015242837369441986 25615:0.01523824967443943 30831:0.0152205815538764 16314:0.015218609012663364 22730:0.015216939151287079 12556:0.015215545892715454 26145:0.01521317195147276 12526:0.015210645273327827 22920:0.015208467841148376 22332:0.015208395197987556 30068:0.015205170959234238 25403:0.015192253515124321 30032:0.015191937796771526 22186:0.01519090123474598 13944:0.015179348178207874 33728:0.015177623368799686 10804:0.01517399214208126 31979:0.015173358842730522 7727:0.015169882215559483 15335:0.015166912227869034 22188:0.015164804644882679 25315:0.01515988726168871 16784:0.015158962458372116 27657:0.015158361755311489 26986:0.015156751498579979 9965:0.015156175009906292 9112:0.015153767541050911 27523:0.01515374705195427 24121:0.015152816660702229 19636:0.015152707695960999 17672:0.015149576589465141 16608:0.015148304402828217 25107:0.015148059464991093 32858:0.015147111378610134 5979:0.015147046186029911 24754:0.015145380049943924 17317:0.015143043361604214 32044:0.015141121111810207 24374:0.015140357427299023 11739:0.015139076858758926 29741:0.01513858512043953 12151:0.015138127841055393 27916:0.015137286856770515 32150:0.015136255882680416 11508:0.015135733410716057 24319:0.015135372057557106 25059:0.015134647488594055 18072:0.015132630243897438 8349:0.015131955035030842 19167:0.015131046064198017 24430:0.015130640007555485 5976:0.015130317769944668 10586:0.015129713341593742 23177:0.015129468403756618 32933:0.015129261650145054 23925:0.01512911170721054 33732:0.015128474682569504 27801:0.015127158723771572 23275:0.015126774087548256 13351:0.01512596383690834 14892:0.015125516802072525 18073:0.015125120058655739 22194:0.015124530531466007 23487:0.015124157071113586 25182:0.015123837627470493 30774:0.01512367743998766 19598:0.015122542157769203 16719:0.015122481621801853 32702:0.015122221782803535 22285:0.015121843665838242 10093:0.015121111646294594 17716:0.015120434574782848 13989:0.01512034609913826 12468:0.01512034423649311 9478:0.015120130032300949 30419:0.015120006166398525 12470:0.015119901858270168 33607:0.015119737945497036 15763:0.015118543989956379 32217:0.015118077397346497 27010:0.015118066221475601 22643:0.015117652714252472 15033:0.015117598697543144 25641:0.015116848982870579 16374:0.015116583555936813 26251:0.015116369351744652 13057:0.015115344896912575 10647:0.015114950016140938 11680:0.015114705078303814 13427:0.01511450856924057 23004:0.015114370733499527
2,27521:0.01509945560246706 27868:0.015098984353244305 18531:0.015096452087163925 7999:0.015093570575118065 15622:0.015086112543940544 28185:0.015074778348207474 10726:0.015068711712956429 13519:0.0150617565959692 17577:0.015061251819133759 21742:0.01505773700773716 10175:0.015057284384965897 31667:0.015055258758366108 23172:0.015053188428282738 26145:0.015052680857479572 32933:0.015051586553454399 24545:0.015051024965941906 9965:0.015048261731863022 12129:0.015047659166157246 27911:0.015043070539832115 15571:0.015042519196867943 17181:0.015042214654386044 10653:0.015040816739201546 13139:0.015039805322885513 7727:0.015039035119116306 31401:0.015034803189337254 10620:0.015034626238048077 19184:0.015034112147986889 31002:0.015033796429634094 21326:0.015033689327538013 29827:0.015033332630991936 20398:0.015032232739031315 29482:0.01503137405961752 13611:0.015030200593173504 5708:0.01502977591007948 14255:0.015029757283627987 27396:0.01502869464457035 32702:0.015028456225991249 16789:0.015028156340122223 33418:0.015027984045445919 13883:0.015026519075036049 19968:0.015026383101940155 11804:0.015026356093585491 22198:0.01502586156129837 31196:0.015025289729237556 9257:0.015024627558887005 12623:0.015024561434984207 29435:0.015024340711534023 31382:0.015023740008473396 27981:0.01502346433699131 20797:0.01502286083996296 13985:0.015022331848740578 24405:0.015021907165646553 33736:0.015021591447293758 5492:0.015021140687167645 8009:0.015020141378045082 21192:0.015018587931990623 9911:0.01501853484660387 15963:0.015017434023320675 32906:0.015017325058579445 28103:0.01501686405390501 29944:0.015016857534646988 18834:0.01501644030213356 25721:0.01501577626913786 27946:0.015015562996268272 31552:0.015015027485787868 30242:0.0150147695094347 11299:0.015014620497822762 21695:0.015013512223958969 22350:0.015012758783996105 32076:0.015012291260063648 23664:0.015012236312031746 31000:0.015012182295322418 17369:0.01501177903264761 18760:0.015011776238679886 25713:0.015011734329164028 28001:0.015011642128229141 9984:0.015011423267424107 29912:0.015011242590844631 17131:0.01501112524420023 25218:0.015010702423751354 23811:0.015010656788945198 26619:0.015010637231171131 23232:0.01501058042049408 5363:0.015010464005172253 21037:0.015010137110948563 29832:0.015009894967079163 11740:0.01500948891043663 20735:0.01500923652201891 22266:0.015009137801826 16896:0.015009084716439247 28120:0.015008993446826935 28017:0.015008922666311264 11445:0.015008889138698578 26991:0.015008306130766869 15678:0.015008036978542805 27107:0.01500667817890644 14063:0.01500640157610178 23929:0.015006298199295998 28280:0.015006178990006447 28230:0.015005544759333134
3,12129:0.015191365964710712 13089:0.015173396095633507 22759:0.015164061449468136 27396:0.015163086354732513 25652:0.015158970840275288 26456:0.015153972432017326 22699:0.015147637575864792 25525:0.01514638401567936 12556:0.015144831500947475 27804:0.015138891525566578 33237:0.015138278715312481 13197:0.015136655420064926 21404:0.015132659114897251 13139:0.015125755220651627 31390:0.015124944038689137 22011:0.015121037140488625 33525:0.015118583105504513 10653:0.015117409639060497 22265:0.015115195885300636 26931:0.015113300643861294 21742:0.01510681677609682 22920:0.015106617473065853 17144:0.015106051228940487 27408:0.015105749480426311 16914:0.015105745755136013 21966:0.015104616060853004 31621:0.01510104164481163 24063:0.015099435113370419 26780:0.015097654424607754 30053:0.01509690098464489 25927:0.015096385963261127 6926:0.015096249058842659 22330:0.015095265582203865 12597:0.01509067788720131 11753:0.015088715590536594 29386:0.015088292770087719 8127:0.015086810104548931 10804:0.015085634775459766 26714:0.015084787271916866 8205:0.015083512291312218 16304:0.015083378180861473 13986:0.015081790275871754 12772:0.01508128922432661 9278:0.01507857907563448 11520:0.015078132040798664 15952:0.015076951123774052 9683:0.015076871030032635 7123:0.01507625449448824 30312:0.0150751369073987 10278:0.015074362978339195 23172:0.015074295923113823 31401:0.015074258670210838 9834:0.015073617920279503 12881:0.015073570422828197 28609:0.01507331058382988 18052:0.015073186717927456 10964:0.015071198344230652 9009:0.015070997178554535 29940:0.0150702940300107 16247:0.015070280991494656 30792:0.015070208348333836 26879:0.015068748034536839 28550:0.015068436041474342 13944:0.015067982487380505 8525:0.015067934058606625 10965:0.015066048130393028 27333:0.01506583858281374 31552:0.01506572775542736 10566:0.015065551735460758 22887:0.015065490268170834 32681:0.015065484680235386 15622:0.015065238811075687 22408:0.015062888152897358 31445:0.015061174519360065 31912:0.015061155892908573 24248:0.015060602687299252 30070:0.015060589648783207 22678:0.01506038662046194 15988:0.015058591030538082 16098:0.015058514662086964 15712:0.01505834050476551 22076:0.015058073215186596 23291:0.01505791675299406 12564:0.015057717449963093 10255:0.01505743246525526 30265:0.015057366341352463 32322:0.015057153068482876 27010:0.015056357719004154 10285:0.015056347474455833 31413:0.015055976808071136 8606:0.015055687166750431 17090:0.015055631287395954 20711:0.015055475756525993 13194:0.015055161900818348 32253:0.015054788440465927 22339:0.015054361894726753 8445:0.015053789131343365 24839:0.015053755603730679 30032:0.015052908100187778 30774:0.015052899718284607
4,28640:0.015516678802669048 24594:0.015401968732476234 27981:0.01540012750774622 27868:0.015375540591776371 16428:0.015343801118433475 18154:0.015310066752135754 10149:0.015308831818401814 11299:0.015275595709681511 31070:0.01527104526758194 15963:0.015263285487890244 28509:0.015257319435477257 20860:0.015253907069563866 10620:0.015250775031745434 25555:0.015250594355165958 20800:0.015244008973240852 5910:0.015242594294250011 27946:0.015237925574183464 29441:0.01523509994149208 21952:0.015234438702464104 10175:0.015233808197081089 13985:0.015231087803840637 20611:0.015221774578094482 18531:0.015218048356473446 20309:0.015217689797282219 29169:0.015216643922030926 28638:0.01521636825054884 11751:0.015215864405035973 28544:0.015212121419608593 11602:0.015203136950731277 23608:0.015202506445348263 31778:0.015201273374259472 28863:0.015200136229395866 21306:0.015199929475784302 25818:0.015199040994048119 19050:0.01519478764384985 18585:0.015193921513855457 16625:0.015192529186606407 31034:0.015190279111266136 18567:0.015188854187726974 21632:0.01518750935792923 26745:0.015182707458734512 28423:0.015181390568614006 29879:0.01517943013459444 28185:0.01517857052385807 31197:0.015176473185420036 10906:0.015175445936620235 5688:0.015173664316534996 11669:0.015172785148024559 21343:0.015172278508543968 11392:0.015170389786362648 11627:0.015170356258749962 18307:0.015170207247138023 21529:0.015169329941272736 10965:0.015169269405305386 21025:0.015168251469731331 28861:0.015167110599577427 21326:0.015166345983743668 28003:0.015164557844400406 28762:0.01516388077288866 15571:0.015163096599280834 31253:0.015162027440965176 29880:0.015161577612161636 28454:0.01516120694577694 29447:0.01516119483858347 13611:0.0151604525744915 23664:0.01516026258468628 11738:0.015160076320171356 18547:0.015159111469984055 10985:0.015157151035964489 31159:0.01515541598200798 10726:0.015154740773141384 21037:0.015152320265769958 21590:0.01515224203467369 31078:0.015151945874094963 21406:0.015150967985391617 26907:0.01515096053481102 28113:0.015150859951972961 18812:0.015149764716625214 7575:0.01514853909611702 20854:0.015148336067795753 29603:0.01514690462499857 11389:0.015146257355809212 28186:0.015146227553486824 7801:0.015145142562687397 29462:0.01514511276036501 28459:0.015145037323236465 19921:0.015144486911594868 26499:0.015143959783017635 31196:0.015143724158406258 21381:0.01514363382011652 28644:0.015143606811761856 29640:0.015143546275794506 18171:0.015143472701311111 11252:0.015143259428441525 28100:0.015143144875764847 20839:0.015141855925321579 28964:0.015141205862164497 18695:0.015141143463551998 12345:0.01514092180877924 29817:0.015140783973038197
5,22759:0.01653916947543621 30032:0.01605234481394291 17577:0.015954844653606415 7999:0.015832096338272095 10992:0.015732422471046448 25525:0.015693582594394684 23291:0.015692271292209625 13418:0.015691161155700684 32858:0.015672171488404274 11897:0.01566758006811142 25362:0.015647005289793015 8127:0.015644071623682976 25313:0.015637757256627083 27392:0.015627320855855942 17257:0.015617257915437222 17672:0.015615876764059067 5976:0.015605447813868523 23201:0.015601725317537785 22920:0.0155995087698102 16314:0.015589731745421886 11439:0.015588044188916683 25615:0.015586655586957932 32933:0.015578427352011204 15924:0.015569628216326237 22643:0.01556557510048151 23275:0.015560789965093136 9009:0.015557647682726383 27657:0.015555320307612419 10549:0.015547932125627995 30280:0.015547243878245354 13510:0.015544961206614971 32520:0.015544723719358444 13062:0.015537168830633163 22072:0.01553467195481062 22332:0.015530060045421124 21924:0.015525841154158115 10093:0.015525156632065773 25197:0.015524344518780708 5465:0.015524214133620262 13089:0.015519569627940655 15335:0.015516305342316628 10446:0.015513102523982525 10804:0.015509791672229767 19907:0.015507962554693222 4141:0.015506473369896412 24461:0.01550636999309063 23889:0.015505479648709297 22526:0.015503737144172192 23487:0.015499606728553772 9753:0.015497714281082153 9971:0.01549752801656723 31279:0.015496955253183842 10355:0.015492590144276619 19869:0.015492195263504982 22188:0.015491529367864132 25403:0.015490395948290825 29493:0.015489952638745308 33732:0.015487889759242535 19828:0.01548438984900713 26178:0.015484252013266087 33728:0.015484118834137917 11080:0.015479645691812038 25315:0.015478654764592648 28443:0.015476658008992672 26986:0.015476525761187077 16374:0.015475311316549778 23667:0.015471305698156357 24526:0.015466803684830666 15618:0.015466741286218166 33237:0.015461553819477558 19598:0.015461134724318981 18073:0.015460917726159096 32150:0.015459088608622551 18072:0.015454565174877644 27801:0.015454325824975967 10698:0.015452217310667038 14451:0.01544971577823162 22400:0.0154491625726223 20735:0.015447119250893593 27941:0.015445686876773834 30590:0.015444759279489517 27408:0.01544429361820221 13986:0.015443073585629463 12585:0.015437997877597809 10782:0.015435333363711834 9112:0.015433651395142078 22283:0.015433579683303833 32126:0.015432896092534065 30774:0.015432165935635567 12487:0.015429441817104816 18297:0.015427651815116405 10586:0.015423365868628025 30613:0.015421141870319843 30549:0.015421091578900814 32044:0.015419782139360905 13944:0.015419678762555122 22693:0.015419552102684975 22730:0.015417844988405704 10491:0.015417538583278656 33552:0.015416793525218964
6,5977:0.015317997895181179 24723:0.01531182136386633 30831:0.01526570226997137 24108:0.015264870598912239 13048:0.015262730419635773 14875:0.015261515974998474 19636:0.0152520053088665 21515:0.015243789181113243 30102:0.01524375006556511 21215:0.015220386907458305 32330:0.015217768028378487 32409:0.015217706561088562 29838:0.015205124393105507 30068:0.01520421914756298 27075:0.015201724134385586 30916:0.015198112465441227 29939:0.015196949243545532 9316:0.01519029214978218 13428:0.015178107656538486 18479:0.01517394371330738 12190:0.01517216581851244 9707:0.015171692706644535 11732:0.015170197933912277 23020:0.015169286169111729 16409:0.015167546458542347 10402:0.015165210701525211 33236:0.015165184624493122 12350:0.015162448398768902 25362:0.015161396935582161 32586:0.015160629525780678 28626:0.015160099603235722 26489:0.015159457921981812 22730:0.015155639499425888 31072:0.015154022723436356 18478:0.015153694897890091 13112:0.015152321197092533 9010:0.015149672515690327 10575:0.015149313025176525 5976:0.015148116275668144 23818:0.015147492289543152 29481:0.015146423131227493 24283:0.015146369114518166 8172:0.015145538374781609 29882:0.015145265497267246 26508:0.0151442289352417 19642:0.01514286920428276 16702:0.015142248012125492 22165:0.015141904354095459 10157:0.015140747651457787 21175:0.015137623064219952 15782:0.015137608163058758 17598:0.015136424452066422 23075:0.015136131085455418 22332:0.015136071480810642 33728:0.015134859830141068 30769:0.015132438391447067 6740:0.015128924511373043 23325:0.015128718689084053 30725:0.015127337537705898 17049:0.015127095393836498 31979:0.015126434154808521 13353:0.015125815756618977 10332:0.01512516662478447 10093:0.015124814584851265 17672:0.015124735422432423 15775:0.0151235805824399 23310:0.015123564749956131 12526:0.015122764743864536 24328:0.015121831558644772 21924:0.015121424570679665 20868:0.01512103620916605 16179:0.015120393596589565 15707:0.015118785202503204 17841:0.015118606388568878 13418:0.015118400566279888 32230:0.015118069015443325 18219:0.015117492526769638 29493:0.015117031522095203 28453:0.015116517432034016 19081:0.015115904621779919 12162:0.015114765614271164 13231:0.015113843604922295 18895:0.015113500878214836 15972:0.015112790279090405 24658:0.015112614259123802 12878:0.01511252298951149 13247:0.015112356282770634 33526:0.01511229295283556 32193:0.015111727640032768 21525:0.015111537650227547 28167:0.01511111669242382 20389:0.015110896900296211 11147:0.015110381878912449 24421:0.015110036358237267 18614:0.015109924599528313 31607:0.015109686180949211 9639:0.015109366737306118 16608:0.015109172090888023 18808:0.015108921565115452 25796:0.015108817256987095
7,19819:0.015551554970443249 24758:0.0154127087444067 16139:0.01538290549069643 26194:0.015377232804894447 32586:0.015371253713965416 27630:0.015366182662546635 22165:0.015361964702606201 33237:0.01536073349416256 24002:0.015360027551651001 12585:0.01534015592187643 31832:0.015328263863921165 9514:0.015327376313507557 21434:0.015320026315748692 33834:0.015316028147935867 12137:0.0153142549097538 12151:0.015307830646634102 30779:0.01530527789145708 32858:0.015304382890462875 19806:0.01530358288437128 13048:0.015300665982067585 17257:0.015300387516617775 31445:0.015293783508241177 22920:0.01529251504689455 24121:0.015292253345251083 30401:0.015288762748241425 12348:0.015287688933312893 22560:0.015286825597286224 26942:0.015285779722034931 6980:0.015284168533980846 23777:0.015281867235898972 12350:0.015281815081834793 10072:0.015277965925633907 22497:0.015277615748345852 32221:0.015275494195520878 14086:0.015275114215910435 30526:0.015273782424628735 24108:0.015272843651473522 7999:0.01527188066393137 10491:0.015268269926309586 30562:0.015266282483935356 9270:0.015265566296875477 31570:0.0152649637311697 30617:0.015263593755662441 23814:0.015263000503182411 32134:0.015261286869645119 22363:0.01526126079261303 32020:0.015256881713867188 27620:0.015256762504577637 13600:0.015256167389452457 22188:0.015255524776875973 10586:0.015254740603268147 13726:0.015254462137818336 8909:0.015253069810569286 15550:0.015252246521413326 13198:0.015252123586833477 13062:0.015250337310135365 31459:0.015250097960233688 23598:0.015249340794980526 13112:0.01524899061769247 24751:0.015248190611600876 30613:0.01524448487907648 14300:0.015244309790432453 22259:0.015241876244544983 13320:0.015241147950291634 25272:0.015241042710840702 22932:0.015240619890391827 22703:0.015239870175719261 13699:0.015239425003528595 26189:0.015239247120916843 15780:0.015238882042467594 9828:0.015237990766763687 22083:0.015237847343087196 23748:0.015237201936542988 12015:0.015236943028867245 12559:0.015236753970384598 11611:0.01523671206086874 22714:0.01523642148822546 12817:0.01523622963577509 31636:0.015235125087201595 22887:0.01523495465517044 8405:0.015234730206429958 33417:0.015233416110277176 16986:0.015232682228088379 12754:0.01523208525031805 25190:0.01523137092590332 31595:0.015231174416840076 17976:0.015230847522616386 27857:0.0152305131778121 17415:0.015228556469082832 9364:0.015228222124278545 17846:0.01522815227508545 30221:0.015226109884679317 17618:0.01522582583129406 33388:0.015225330367684364 22332:0.015225257724523544 22661:0.015225168317556381 9465:0.015224768780171871 25483:0.015223889611661434 24011:0.015223726630210876 25856:0.015223517082631588
8,22330:0.015342017635703087 24594:0.015340480953454971 25818:0.015337367542088032 28185:0.01532222330570221 20735:0.015317290090024471 10175:0.01531408540904522 26514:0.0152989961206913 27946:0.015290788374841213 27981:0.01528551708906889 21632:0.015280531719326973 21326:0.015267787501215935 26931:0.01526519563049078 27868:0.015254293568432331 29827:0.015253645367920399 20414:0.01524654682725668 21952:0.01524288672953844 31009:0.015240577049553394 21966:0.015238606370985508 18508:0.015234062448143959 15571:0.01522890105843544 10965:0.01522850338369608 18896:0.015226243995130062 29669:0.015221286565065384 32933:0.015219952911138535 13843:0.015217050909996033 11380:0.015215197578072548 29501:0.0152151333168149 31253:0.01521211676299572 28497:0.015211537480354309 31043:0.015210697427392006 21529:0.015199617482721806 11246:0.015198043547570705 26212:0.015196314081549644 29876:0.015195753425359726 26619:0.015195539221167564 21330:0.015193586237728596 31159:0.015193520113825798 29169:0.015190931037068367 28626:0.015185963362455368 28615:0.015185734257102013 9984:0.015185398980975151 29125:0.015185225754976273 28544:0.015185203403234482 11971:0.015185046009719372 29246:0.01518263854086399 31621:0.015179569832980633 20459:0.0151786794885993 28459:0.015178258530795574 31165:0.015178222209215164 18251:0.015178154222667217 29872:0.015177826397120953 28427:0.015177610330283642 24063:0.0151765001937747 20146:0.015175358392298222 29419:0.01517494022846222 11252:0.015172903425991535 20184:0.015172015875577927 29536:0.015170927159488201 29433:0.015170733444392681 21742:0.015170576982200146 8385:0.01517055369913578 28685:0.015170461498200893 20417:0.015170457772910595 18942:0.015170379541814327 26745:0.015170346945524216 26499:0.01516973040997982 31197:0.015168680809438229 26886:0.015168603509664536 7209:0.015168595127761364 28072:0.015167818404734135 20138:0.015167809091508389 20153:0.015166942961513996 7801:0.015166607685387135 20149:0.01516627985984087 28587:0.01516617089509964 18744:0.01516608614474535 29706:0.015166009776294231 29837:0.015165915712714195 22265:0.015165467746555805 17682:0.015164921060204506 11326:0.01516476646065712 31234:0.015164690092206001 28540:0.015164323151111603 21275:0.015163389965891838 6361:0.015163231641054153 18531:0.015162813477218151 28098:0.015162657015025616 11627:0.015160424634814262 26888:0.01516024861484766 20860:0.015156411565840244 20819:0.015155446715652943 21039:0.015155209228396416 21037:0.015152999199926853 11753:0.0151528874412179 28114:0.015152827836573124 21374:0.01515262946486473 26552:0.015152592211961746 28539:0.015152473002672195 29447:0.015152279287576675 18629:0.015152147971093655
9,19819:0.015348291024565697 7999:0.015328783541917801 26194:0.015189594589173794 31778:0.015185728669166565 20038:0.015176190063357353 30401:0.015174898318946362 10072:0.015170191414654255 33237:0.01517000887542963 12137:0.015169991180300713 22560:0.01516776718199253 22259:0.01516654621809721 10157:0.015165158547461033 24002:0.015162436291575432 32134:0.015162196010351181 24758:0.015157366171479225 9270:0.015154371038079262 30617:0.015150334686040878 13932:0.015149976126849651 30562:0.015147904865443707 23777:0.015146924182772636 31570:0.01514369621872902 23598:0.015142237767577171 9724:0.015140454284846783 26990:0.015140305273234844 27630:0.01513991504907608 31459:0.015137280337512493 12559:0.01513715274631977 13198:0.015135400928556919 13600:0.015135275200009346 26942:0.015132199041545391 22266:0.015132054686546326 18308:0.01513094361871481 13943:0.0151309072971344 16986:0.015129810199141502 22188:0.01512819156050682 13574:0.015127379447221756 13553:0.015127032063901424 32586:0.01512561459094286 9364:0.015125232748687267 28470:0.015123967081308365 9514:0.01512360293418169 8750:0.015123559162020683 33555:0.015122324228286743 10347:0.01512078382074833 32914:0.015119154006242752 18024:0.015118126757442951 32221:0.015116947703063488 12394:0.01511690765619278 30542:0.015116195194423199 25190:0.015116049908101559 30779:0.015115996822714806 31832:0.015115820802748203 22165:0.015115437097847462 22920:0.015114898793399334 26966:0.015114540234208107 12556:0.0151144964620471 11611:0.01511428877711296 14300:0.015113555826246738 25483:0.015112657099962234 22304:0.015112528577446938 16928:0.015112470835447311 24035:0.015112020075321198 24108:0.015111698769032955 17124:0.015111478976905346 22714:0.015111408196389675 32858:0.01511139702051878 32002:0.015111236833035946 6980:0.015111169777810574 13062:0.01511078979820013 23814:0.015110628679394722 31445:0.015109642408788204 17188:0.015109519474208355 8909:0.015108387917280197 22963:0.015108171850442886 23005:0.015107995830476284 10491:0.015107112936675549 33417:0.015106546692550182 15535:0.015106533654034138 30526:0.015105891041457653 30647:0.015105762518942356 12417:0.0151052325963974 33552:0.015104983001947403 16139:0.015104571357369423 17211:0.015104199759662151 33319:0.015103940851986408 5279:0.015103875659406185 16343:0.015103830024600029 19885:0.015103335492312908 17565:0.01510308776050806 25578:0.015103070996701717 25272:0.01510296855121851 12585:0.015102474018931389 10549:0.015102386474609375 17976:0.015102347359061241 13320:0.015102026984095573 13097:0.015101480297744274 22887:0.015101434662938118 22400:0.015101038850843906 17448:0.015101013705134392 30811:0.015100805088877678
